,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,senate_class,state_names
0,A000360,Lamar,Alexander,1940-07-03,M,R,False,300002,5.0,15,599,27,0,TN,2,Tennessee
1,B001230,Tammy,Baldwin,1962-02-11,F,D,False,400013,57884.0,5,599,3,1,WI,1,Wisconsin
2,B001261,John,Barrasso,1952-07-21,M,R,Policy Committee Chair,412251,1024777.0,11,599,1,0,WY,1,Wyoming
3,B001267,Michael,Bennet,1964-11-28,M,D,False,412330,1031622.0,9,599,5,1,CO,3,Colorado
4,B001277,Richard,Blumenthal,1946-02-13,M,D,False,412490,21799.0,7,599,3,1,CT,3,Connecticut
5,B000575,Roy,Blunt,1950-01-10,M,R,False,400034,45465.0,7,599,14,0,MO,3,Missouri
6,B001288,Cory,Booker,1969-04-27,M,D,False,412598,84679.0,5,599,28,1,NJ,2,New Jersey
7,B001236,John,Boozman,1950-12-10,M,R,False,400040,92069.0,7,599,4,0,AR,3,Arkansas
8,B000944,Sherrod,Brown,1952-11-09,M,D,False,400050,5051.0,11,599,2,1,OH,1,Ohio
9,B001135,Richard,Burr,1955-11-30,M,R,False,400054,31054.0,13,599,25,0,NC,3,North Carolina
10,C000127,Maria,Cantwell,1958-10-13,F,D,False,300018,26137.0,17,599,2,1,WA,1,Washington
11,C001047,Shelley,Capito,1953-11-26,F,R,False,400061,83737.0,3,599,6,0,WV,2,West Virginia
12,C000141,Benjamin,Cardin,1943-10-05,M,D,False,400064,4004.0,11,599,5,1,MD,1,Maryland
13,C000174,Thomas,Carper,1947-01-23,M,D,False,300019,663.0,17,599,6,1,DE,1,Delaware
14,C001070,Bob,Casey,1960-04-13,M,D,False,412246,47036.0,11,599,1,1,PA,1,Pennsylvania
15,C001075,Bill,Cassidy,1957-09-28,M,R,False,412269,1030546.0,3,599,6,0,LA,2,Louisiana
16,C000567,Thad,Cochran,1937-12-07,M,R,False,300023,1200.0,39,599,37,0,MS,2,Mississippi
17,C001035,Susan,Collins,1952-12-07,F,R,False,300025,45738.0,21,599,0,0,ME,2,Maine
18,C001088,Christopher,Coons,1963-09-09,M,D,False,412390,9269028.0,9,599,23,1,DE,2,Delaware
19,C001071,Bob,Corker,1952-08-24,M,R,False,412248,1021114.0,11,599,25,0,TN,1,Tennessee
20,C001056,John,Cornyn,1952-02-02,M,R,Assistant Leader,300027,93131.0,15,599,2,0,TX,2,Texas
21,C001113,Catherine,Cortez Masto,1964-03-29,F,D,False,412681,105698.0,1,599,10,1,NV,3,Nevada
22,C001095,Tom,Cotton,1977-05-13,M,R,False,412508,63928.0,3,599,2,0,AR,2,Arkansas
23,C000880,Michael,Crapo,1951-05-20,M,R,False,300030,26440.0,19,599,5,0,ID,3,Idaho
24,C001098,Ted,Cruz,1970-12-22,M,R,False,412573,1019953.0,5,599,32,0,TX,1,Texas
25,D000618,Steve,Daines,1962-08-20,M,R,False,412549,1034037.0,3,599,2,0,MT,2,Montana
26,D000607,Joe,Donnelly,1955-09-28,M,D,False,412205,1012000.0,5,599,8,0,IN,1,Indiana
27,D000622,Tammy,Duckworth,1968-03-12,F,D,False,412533,94484.0,1,599,77,1,IL,3,Illinois
28,D000563,Richard,Durbin,1944-11-21,M,D,Minority Whip,300038,6741.0,21,599,15,1,IL,2,Illinois
29,E000285,Michael,Enzi,1944-02-01,M,R,False,300041,45824.0,21,599,1,0,WY,2,Wyoming
30,E000295,Joni,Ernst,1970-07-01,F,R,False,412667,75342.0,3,599,1,0,IA,2,Iowa
31,F000062,Dianne,Feinstein,1933-06-22,F,D,False,300043,13061.0,25,599,37,1,CA,1,California
32,F000463,Deb,Fischer,1951-03-01,F,R,False,412556,1034067.0,5,599,4,0,NE,1,Nebraska
33,F000444,Jeff,Flake,1962-12-31,M,R,False,400134,87582.0,5,599,48,1,AZ,1,Arizona
34,F000457,Al,Franken,1951-05-21,M,D,False,412378,23334.0,9,599,13,1,MN,2,Minnesota
35,G000562,Cory,Gardner,1974-08-22,M,R,False,412406,623308.0,3,599,2,0,CO,2,Colorado
36,G000555,Kirsten,Gillibrand,1966-12-09,F,D,False,412223,1022862.0,9,599,2,1,NY,1,New York
37,G000359,Lindsey,Graham,1955-07-09,M,R,False,300047,36782.0,15,599,36,0,SC,2,South Carolina
38,G000386,Charles,Grassley,1933-09-17,M,R,False,300048,1167.0,37,599,0,0,IA,3,Iowa
39,H001075,Kamala,Harris,1964-10-20,F,D,False,412678,1018696.0,1,599,2,1,CA,3,California
40,H001076,Margaret,Hassan,1958-02-27,F,D,False,412680,67481.0,1,599,3,1,NH,3,New Hampshire
41,H000338,Orrin,Hatch,1934-03-22,M,R,False,300052,189.0,41,599,3,0,UT,1,Utah
42,H001046,Martin,Heinrich,1971-10-17,M,D,False,412281,1030686.0,5,599,26,1,NM,1,New Mexico
43,H001069,Heidi,Heitkamp,1955-10-30,F,D,False,412554,95414.0,5,599,17,0,ND,1,North Dakota
44,H001041,Dean,Heller,1960-05-10,M,R,False,412218,1012368.0,7,599,29,0,NV,1,Nevada
45,H001042,Mazie,Hirono,1947-11-03,F,D,False,412200,91216.0,5,599,12,1,HI,1,Hawaii
46,H001061,John,Hoeven,1957-03-13,M,R,False,412494,85233.0,7,599,7,0,ND,3,North Dakota
47,H001079,Cindy,Hyde-Smith,1959-05-10,F,R,False,412743,113208.0,1,599,6,0,MS,2,Mississippi
48,I000024,James,Inhofe,1934-11-17,M,R,False,300055,5619.0,25,599,15,0,OK,2,Oklahoma
49,I000055,Johnny,Isakson,1944-12-28,M,R,False,400194,59135.0,13,599,65,0,GA,3,Georgia
50,J000293,Ron,Johnson,1955-04-08,M,R,False,412496,62835.0,7,599,5,0,WI,3,Wisconsin
51,J000300,Doug,Jones,1954-05-04,M,D,False,412741,1024592.0,1,599,5,0,AL,2,Alabama
52,K000384,Tim,Kaine,1958-02-26,M,D,False,412582,49219.0,5,599,3,1,VA,1,Virginia
53,K000393,John,Kennedy,1951-11-21,M,R,False,412679,1011723.0,1,599,2,0,LA,3,Louisiana
54,K000383,Angus,King,1944-03-31,M,ID,False,412545,37413.0,5,599,0,0,ME,1,Maine
55,K000367,Amy,Klobuchar,1960-05-25,F,D,False,412242,83701.0,11,599,3,1,MN,1,Minnesota
56,K000352,Jon,Kyl,1942-04-25,M,R,False,300062,,1,599,1,0,AZ,3,Arizona
57,L000575,James,Lankford,1968-03-04,M,R,False,412464,1033847.0,3,599,2,0,OK,3,Oklahoma
58,L000174,Patrick,Leahy,1940-03-31,M,D,False,300065,1552.0,43,599,17,1,VT,3,Vermont
59,L000577,Mike,Lee,1971-06-04,M,R,False,412495,9267977.0,7,599,10,0,UT,3,Utah
60,M001183,Joe,Manchin,1947-08-24,M,D,False,412391,62864.0,9,599,5,0,WV,1,West Virginia
61,M000133,Edward,Markey,1946-07-11,M,D,False,400253,260.0,5,599,3,1,MA,2,Massachusetts
62,M000303,John,McCain,1936-08-29,M,R,False,300071,7476.0,31,599,236,0,AZ,3,Arizona
63,M001170,Claire,McCaskill,1953-07-24,F,D,False,412243,1012014.0,11,599,17,1,MO,1,Missouri
64,M000355,Mitch,McConnell,1942-02-20,M,R,Majority Leader,300072,2351.0,33,599,0,1,KY,2,Kentucky
65,M000639,Robert,Menendez,1954-01-01,M,D,False,400272,29608.0,12,599,84,1,NJ,1,New Jersey
66,M001176,Jeff,Merkley,1956-10-24,M,D,False,412325,1029842.0,9,599,10,1,OR,2,Oregon
67,M000934,Jerry,Moran,1954-05-29,M,R,False,400284,45469.0,7,599,26,0,KS,3,Kansas
68,M001153,Lisa,Murkowski,1957-05-22,F,R,False,300075,1004138.0,17,599,18,1,AK,3,Alaska
69,M001169,Christopher,Murphy,1973-08-03,M,D,False,412194,1021270.0,5,599,3,1,CT,1,Connecticut
70,M001111,Patty,Murray,1950-10-11,F,D,Assistant Leader,300076,25277.0,25,599,16,1,WA,3,Washington
71,N000032,Bill,Nelson,1942-09-29,M,D,False,300078,1931.0,17,599,38,1,FL,1,Florida
72,P000603,Rand,Paul,1963-01-07,M,R,False,412492,9265241.0,7,599,21,0,KY,3,Kentucky
73,P000612,David,Perdue,1949-12-10,M,R,False,412666,75920.0,3,599,7,1,GA,2,Georgia
74,P000595,Gary,Peters,1958-12-01,M,D,False,412305,50199.0,3,599,5,1,MI,2,Michigan
