,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,senate_class
0,A000062,George,Aiken,1892-08-20,M,R,,400722,,19,,,,VT,3
1,A000161,Gordon,Allott,1907-01-02,,R,,400816,,5,,,,CO,2
2,A000186,Clinton,Anderson,1895-10-23,,D,,400841,,11,,,,NM,2
3,B000201,Edward,Bartlett,1904-04-20,M,D,,401200,,1,,,,AK,2
4,B000271,James,Beall,1894-06-05,M,R,,401265,,7,,,,MD,1
5,B000384,Wallace,Bennett,1898-11-13,,R,,401375,,9,,,,UT,3
6,B000436,Alan,Bible,1909-11-20,,D,,401422,,5,,,,NV,3
7,B000823,Henry,Bridges,1898-09-09,M,R,,401780,,23,,,,NH,2
8,B000982,Clarence,Brunsdale,1891-07-09,M,R,,401934,,1,,,,ND,1
9,B001077,Quentin,Burdick,1908-06-19,,D,,402023,,1,,,,ND,1
10,B001167,Prescott,Bush,1895-05-15,,R,,402109,,7,,,,CT,3
11,B001180,John,Butler,1897-07-21,M,R,,402122,,9,,,,MD,3
12,B001208,Harry,Byrd,1887-06-10,M,D,,402148,,26,,,,VA,1
13,B001210,Robert,Byrd,1917-11-20,M,D,,300016,,1,,,,WV,1
14,C000120,Howard,Cannon,1912-01-26,M,D,,402271,,1,,,,NV,1
15,C000128,Homer,Capehart,1897-06-06,M,R,,402278,,15,,,,IN,3
16,C000154,Frank,Carlson,1893-01-23,M,R,,402303,,9,,,,KS,3
17,C000189,John,Carroll,1901-07-30,M,D,,402336,,3,,,,CO,3
18,C000221,Francis,Case,1896-12-09,,R,,402367,,9,,,,SD,3
19,C000220,Clifford,Case,1904-04-16,,R,,402366,,5,,,,NJ,2
20,C000338,Dennis,Chavez,1888-04-08,,D,,402478,,24,,,,NM,1
21,C000388,Frank,Church,1924-07-25,M,D,,402527,,3,,,,ID,3
22,C000444,Joseph,Clark,1901-10-21,M,D,,402582,,3,,,,PA,3
23,C000758,John,Cooper,1901-08-23,M,R,,402878,,7,,,,KY,2
24,C000802,Norris,Cotton,,,R,,402921,,6,,,,NH,3
25,C001006,Carl,Curtis,1905-03-15,M,R,,403113,,5,,,,NE,2
26,D000360,Everett,Dirksen,1896-01-04,,R,,403477,,9,,,,IL,3
27,D000390,Thomas,Dodd,1907-05-15,M,D,,403505,,1,,,,CT,1
28,D000456,Paul,Douglas,1892-03-26,M,D,,403566,,11,,,,IL,2
29,D000585,Henry,Dworshak,1894-08-29,M,R,,403688,,12,,,,ID,2
30,E000018,James,Eastland,1904-11-28,M,D,,403714,,17,,,,MS,2
