,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,senate_class
0,A000010,Hazel,Abel,1888-07-10,F,R,,400673,,1,,,,NE,2
1,A000062,George,Aiken,1892-08-20,M,R,,400722,,13,,,,VT,3
2,A000186,Clinton,Anderson,1895-10-23,,D,,400841,,5,,,,NM,2
3,B000176,Frank,Barrett,1892-11-10,M,R,,401177,,1,,,,WY,1
4,B000271,James,Beall,1894-06-05,M,R,,401265,,1,,,,MD,1
5,B000356,George,Bender,1896-09-29,M,R,,401348,,1,,,,OH,3
6,B000384,Wallace,Bennett,1898-11-13,,R,,401375,,3,,,,UT,3
7,B000436,Alan,Bible,1909-11-20,,D,,401422,,1,,,,NV,3
8,B000709,Eva,Bowring,1892-01-09,F,R,,401671,,1,,,,NE,2
9,B000820,John,Bricker,,M,R,,401777,,7,,,,OH,1
10,B000823,Henry,Bridges,1898-09-09,M,R,,401780,,17,,,,NH,2
11,B000913,Ernest,Brown,1903-09-25,M,R,,401869,,1,,,,NV,3
12,B001099,Thomas,Burke,1898-10-30,M,D,,402044,,1,,,,OH,3
13,B001167,Prescott,Bush,1895-05-15,,R,,402109,,1,,,,CT,3
14,B001180,John,Butler,1897-07-21,M,R,,402122,,3,,,,MD,3
15,B001177,Hugh,Butler,,M,R,,402119,,13,,,,NE,1
16,B001208,Harry,Byrd,1887-06-10,M,D,,402148,,20,,,,VA,1
17,C000128,Homer,Capehart,1897-06-06,M,R,,402278,,9,,,,IN,3
18,C000154,Frank,Carlson,1893-01-23,M,R,,402303,,3,,,,KS,3
19,C000221,Francis,Case,1896-12-09,,R,,402367,,3,,,,SD,3
20,C000338,Dennis,Chavez,1888-04-08,,D,,402478,,18,,,,NM,1
21,C000506,Earle,Clements,1896-10-22,,D,,402642,,3,,,,KY,3
22,C000758,John,Cooper,1901-08-23,M,R,,402878,,3,,,,KY,2
23,C000774,Guy,Cordon,1890-04-24,M,R,,402894,,9,,,,OR,2
24,C000802,Norris,Cotton,,,R,,402921,,1,,,,NH,3
25,C000906,Edward,Crippa,1899-04-08,M,R,,403018,,1,,,,WY,2
26,C001006,Carl,Curtis,1905-03-15,M,R,,403113,,1,,,,NE,2
27,D000031,Charles,Daniel,1895-11-11,M,D,,403172,,1,,,,SC,2
