,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,senate_class,state_names
0,A000031,Brockman,Adams,1927-01-13,,D,False,400692,,3,638,7,0,WA,3,Washington
1,A000069,Daniel,Akaka,1924-09-11,M,D,False,300001,8704.0,1,638,3,0,HI,1,Hawaii
2,A000219,William,Armstrong,1937-03-16,M,R,False,400927,,11,638,86,0,CO,2,Colorado
3,B000243,Max,Baucus,1941-12-11,M,D,False,300005,1727.0,11,638,15,0,MT,2,Montana
4,B000401,Lloyd,Bentsen,1921-02-11,,D,False,401391,,19,638,14,0,TX,1,Texas
5,B000444,Joseph,Biden,1942-11-20,M,D,False,300008,34.0,17,638,12,0,DE,2,Delaware
6,B000468,Jeff,Bingaman,1943-10-03,M,D,False,300009,590.0,7,638,20,0,NM,1,New Mexico
7,B000611,Christopher,Bond,1939-03-06,M,R,False,300010,2360.0,3,638,11,0,MO,3,Missouri
8,B000639,David,Boren,1941-04-21,M,D,False,401604,,11,638,35,1,OK,2,Oklahoma
9,B000647,Rudolph,Boschwitz,1930-11-07,,R,False,401611,,11,638,31,1,MN,2,Minnesota
10,B001225,William,Bradley,1943-07-28,M,D,False,401709,,11,638,20,0,NJ,2,New Jersey
11,B000780,John,Breaux,1944-03-01,M,D,False,300012,,4,638,7,0,LA,3,Louisiana
12,B000993,Richard,Bryan,1937-07-16,M,D,False,400557,,1,638,2,0,NV,1,Nevada
13,B001057,Dale,Bumpers,1925-08-12,M,D,False,402004,,15,638,10,0,AR,3,Arkansas
14,B001077,Quentin,Burdick,1908-06-19,,D,False,402023,,29,638,3,0,ND,1,North Dakota
15,B001126,Conrad,Burns,1935-01-25,M,R,False,300015,,1,638,8,0,MT,1,Montana
16,B001210,Robert,Byrd,1917-11-20,M,D,False,300016,,31,638,0,0,WV,1,West Virginia
17,C000269,John,Chafee,1922-10-22,M,R,False,402412,,13,638,12,0,RI,1,Rhode Island
18,C000542,Daniel,Coats,1943-05-16,M,R,False,402675,6080.0,1,638,21,0,IN,3,Indiana
19,C000567,Thad,Cochran,1937-12-07,M,R,False,300023,1200.0,11,638,6,0,MS,2,Mississippi
20,C000598,William,Cohen,1940-08-28,M,R,False,402727,,11,638,0,0,ME,2,Maine
21,C000705,Kent,Conrad,1948-03-12,M,D,False,300026,2517.0,3,638,1,0,ND,3,North Dakota
22,C000877,Alan,Cranston,1914-06-19,,D,False,402990,,21,638,8,0,CA,3,California
23,D000018,Alfonse,D'Amato,1937-08-01,M,R,False,403142,,9,638,5,0,NY,3,New York
24,D000030,John,Danforth,1936-09-05,M,R,False,403171,103.0,13,638,7,0,MO,1,Missouri
25,D000064,Thomas,Daschle,1947-12-09,M,D,False,300031,,3,638,6,0,SD,3,South Dakota
26,D000185,Dennis,DeConcini,1937-05-08,M,D,False,403346,,13,638,11,2,AZ,1,Arizona
27,D000366,Alan,Dixon,1927-07-07,,D,False,403483,,9,638,0,0,IL,3,Illinois
28,D000388,Christopher,Dodd,1944-05-27,M,D,False,300034,,9,638,13,0,CT,3,Connecticut
29,D000401,Robert,Dole,1923-07-22,M,R,False,403515,,21,638,2,0,KS,3,Kansas
30,D000407,Pete,Domenici,1932-05-07,M,R,False,300036,,17,638,27,0,NM,2,New Mexico
31,D000566,David,Durenberger,1934-08-19,M,R,False,403669,,11,638,24,1,MN,1,Minnesota
32,E000284,J. James,Exon,1921-08-09,M,D,False,403962,,11,638,13,0,NE,2,Nebraska
33,F000268,Wendell,Ford,1924-09-08,M,D,False,404219,,16,638,5,0,KY,3,Kentucky
34,F000329,Wyche,Fowler,1940-10-06,,D,False,404277,,3,638,10,0,GA,3,Georgia
35,G000072,Edwin,Garn,1932-10-12,M,R,False,404444,,15,638,30,0,UT,3,Utah
36,G000236,John,Glenn,1921-07-18,M,D,False,404598,,15,638,6,0,OH,3,Ohio
37,G000321,Albert,Gore,1948-03-31,M,D,False,404679,,5,638,34,0,TN,2,Tennessee
38,G000333,Slade,Gorton,1928-01-08,M,R,False,400559,,7,638,0,0,WA,1,Washington
39,G000352,Bob,Graham,1936-11-09,M,D,False,300046,,3,638,3,0,FL,3,Florida
40,G000365,Phil,Gramm,1942-07-08,M,R,False,300159,,5,638,23,0,TX,2,Texas
41,G000386,Charles,Grassley,1933-09-17,M,R,False,300048,1167.0,9,638,1,0,IA,3,Iowa
42,H000206,Tom,Harkin,1939-11-19,M,D,False,300051,2005.0,5,638,7,0,IA,2,Iowa
43,H000338,Orrin,Hatch,1934-03-22,M,R,False,300052,189.0,13,638,7,0,UT,1,Utah
44,H000343,Mark,Hatfield,1922-07-12,M,R,False,405212,,23,638,44,0,OR,2,Oregon
45,H000445,Howell,Heflin,1921-06-19,M,D,False,405310,,11,638,2,0,AL,2,Alabama
46,H000456,Henry,Heinz,1938-10-23,M,R,False,405321,,13,638,8,0,PA,1,Pennsylvania
47,H000463,Jesse,Helms,1921-10-18,M,R,False,300154,,17,638,7,1,NC,2,North Carolina
48,H000725,Ernest,Hollings,1922-01-01,M,D,False,300053,,23,638,0,0,SC,3,South Carolina
49,H000951,Gordon,Humphrey,1940-10-09,,R,False,405795,,11,638,24,1,NH,2,New Hampshire
50,I000025,Daniel,Inouye,1924-09-07,M,D,False,300056,2568.0,27,638,17,0,HI,3,Hawaii
51,J000072,James,Jeffords,1934-05-11,M,R,False,300057,,1,638,45,2,VT,1,Vermont
52,J000189,John,Johnston,1932-06-10,M,D,False,406084,,17,638,20,1,LA,2,Louisiana
53,K000017,Nancy,Kassebaum,1932-07-29,F,R,False,406188,,11,638,10,0,KS,2,Kansas
54,K000019,Robert,Kasten,1942-06-19,M,R,False,406190,,9,638,1,0,WI,3,Wisconsin
55,K000105,Edward,Kennedy,1932-02-22,M,D,False,300059,,27,638,20,0,MA,1,Massachusetts
56,K000146,J. Robert,Kerrey,1943-08-27,M,D,False,400561,,1,638,2,0,NE,1,Nebraska
57,K000148,John,Kerry,1943-12-11,M,D,False,300060,1485.0,5,638,13,0,MA,2,Massachusetts
58,K000305,Herb,Kohl,1935-02-07,M,D,False,300061,4030.0,1,638,4,0,WI,1,Wisconsin
59,L000123,Frank,Lautenberg,1924-01-23,M,D,False,300064,2515.0,7,638,5,0,NJ,1,New Jersey
60,L000174,Patrick,Leahy,1940-03-31,M,D,False,300065,1552.0,15,638,1,0,VT,3,Vermont
61,L000261,Carl,Levin,1934-06-28,M,D,False,300066,2592.0,11,638,6,0,MI,2,Michigan
62,L000304,Joseph,Lieberman,1942-02-24,M,D,False,300067,4363.0,1,638,4,0,CT,1,Connecticut
63,L000447,Trent,Lott,1941-10-09,M,R,False,300069,1886.0,1,638,28,0,MS,1,Mississippi
64,L000504,Richard,Lugar,1932-04-04,M,R,False,300070,255.0,13,638,14,0,IN,1,Indiana
65,M000019,Connie,Mack,1940-10-29,M,R,False,400562,,1,638,15,0,FL,1,Florida
66,M000250,Spark,Matsunaga,1916-10-08,,D,False,407268,,13,638,124,0,HI,1,Hawaii
67,M000303,John,McCain,1936-08-29,M,R,False,300071,7476.0,3,638,18,0,AZ,3,Arizona
68,M000346,James,McClure,1924-12-27,M,R,False,407355,,17,638,15,2,ID,2,Idaho
69,M000355,Mitch,McConnell,1942-02-20,M,R,False,300072,2351.0,5,638,4,0,KY,2,Kentucky
70,M000678,Howard,Metzenbaum,1917-06-04,M,D,False,407663,,14,638,13,1,OH,1,Ohio
71,M000702,Barbara,Mikulski,1936-07-20,F,D,False,300073,1396.0,3,638,18,0,MD,3,Maryland
72,M000811,George,Mitchell,1933-08-20,M,D,False,407786,,9,638,0,0,ME,1,Maine
73,M001054,Daniel,Moynihan,1927-03-16,M,D,False,400563,,13,638,10,0,NY,1,New York
