,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,senate_class
0,A000069,Daniel,Akaka,1924-09-11,M,D,,300001,8704,3,724,0,0,HI,1
1,B000243,Max,Baucus,1941-12-11,M,D,,300005,1727,15,724,19,0,MT,2
2,B000382,Robert,Bennett,1933-09-18,M,R,,300007,25708,1,724,28,0,UT,3
3,B000401,Lloyd,Bentsen,1921-02-11,,D,,401391,,23,0,0,0,TX,1
4,B000444,Joseph,Biden,1942-11-20,M,D,,300008,34,21,724,31,0,DE,2
5,B000468,Jeff,Bingaman,1943-10-03,M,D,,300009,590,11,724,8,0,NM,1
6,B000611,Christopher,Bond,1939-03-06,M,R,,300010,2360,7,724,27,0,MO,3
7,B000639,David,Boren,1941-04-21,M,D,,401604,,15,722,35,1,OK,2
8,B000711,Barbara,Boxer,1940-11-11,F,D,,300011,2470,1,724,12,0,CA,3
9,B001225,William,Bradley,1943-07-28,M,D,,401709,,15,724,34,0,NJ,2
10,B000780,John,Breaux,1944-03-01,M,D,,300012,,7,724,24,0,LA,3
11,B000919,Hank,Brown,1940-02-12,M,R,,401874,,3,724,3,0,CO,2
12,B000993,Richard,Bryan,1937-07-16,M,D,,400557,,5,724,8,0,NV,1
13,B001057,Dale,Bumpers,1925-08-12,M,D,,402004,,19,724,13,0,AR,3
14,B001126,Conrad,Burns,1935-01-25,M,R,,300015,,5,724,7,0,MT,1
15,B001210,Robert,Byrd,1917-11-20,M,D,,300016,,35,724,0,0,WV,1
16,C000077,Ben,Campbell,1933-04-13,M,D,,300017,,1,724,35,0,CO,3
17,C000269,John,Chafee,1922-10-22,M,R,,402412,,17,724,27,0,RI,1
18,C000542,Daniel,Coats,1943-05-16,M,R,,402675,6080,5,724,9,1,IN,3
19,C000567,Thad,Cochran,1937-12-07,M,R,,300023,1200,15,724,9,0,MS,2
20,C000598,William,Cohen,1940-08-28,M,R,,402727,,15,724,20,0,ME,2
21,C000705,Kent,Conrad,1948-03-12,M,D,,300026,2517,7,724,6,0,ND,1
22,C000813,Paul,Coverdell,1939-01-20,M,R,,400558,,1,724,24,0,GA,3
23,C000858,Larry,Craig,1945-07-20,M,R,,300029,,3,724,7,0,ID,2
24,D000018,Alfonse,D'Amato,1937-08-01,M,R,,403142,,13,724,22,0,NY,3
25,D000030,John,Danforth,1936-09-05,M,R,,403171,103,17,724,18,1,MO,1
26,D000064,Thomas,Daschle,1947-12-09,M,D,,300031,,7,724,4,0,SD,3
27,D000185,Dennis,DeConcini,1937-05-08,M,D,,403346,,17,724,19,0,AZ,1
28,D000388,Christopher,Dodd,1944-05-27,M,D,,300034,,13,724,28,0,CT,3
29,D000401,Robert,Dole,1923-07-22,M,R,,403515,,25,724,10,0,KS,3
30,D000407,Pete,Domenici,1932-05-07,M,R,,300036,,21,724,16,0,NM,2
31,D000432,Byron,Dorgan,1942-05-14,M,D,,300037,2318,1,724,33,0,ND,3
32,D000566,David,Durenberger,1934-08-19,M,R,,403669,,15,724,45,0,MN,1
33,E000284,J. James,Exon,1921-08-09,M,D,,403962,,15,724,6,1,NE,2
34,F000437,Lauch,Faircloth,1928-01-14,M,R,,403968,,1,724,15,0,NC,3
35,F000061,Russ,Feingold,1953-03-02,M,D,,300042,,1,724,0,0,WI,3
36,F000062,Dianne,Feinstein,1933-06-22,F,D,,300043,13061,1,724,14,0,CA,1
37,F000268,Wendell,Ford,1924-09-08,M,D,,404219,,19,724,3,0,KY,3
38,G000236,John,Glenn,1921-07-18,M,D,,404598,,19,724,8,0,OH,3
39,G000333,Slade,Gorton,1928-01-08,M,R,,400559,,11,724,3,0,WA,1
40,G000352,Bob,Graham,1936-11-09,M,D,,300046,,7,724,3,0,FL,3
41,G000365,Phil,Gramm,1942-07-08,M,R,,300159,,9,724,60,0,TX,2
