,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,senate_class
0,A000062,George,Aiken,1892-08-20,M,R,,400722,,21,,,,VT,3
1,A000161,Gordon,Allott,1907-01-02,,R,,400816,,7,,,,CO,2
2,A000186,Clinton,Anderson,1895-10-23,,D,,400841,,13,,,,NM,2
3,B000201,Edward,Bartlett,1904-04-20,M,D,,401200,,3,,,,AK,2
4,B000271,James,Beall,1894-06-05,M,R,,401265,,9,,,,MD,1
5,B000384,Wallace,Bennett,1898-11-13,,R,,401375,,11,,,,UT,3
6,B000436,Alan,Bible,1909-11-20,,D,,401422,,7,,,,NV,3
7,B000536,William,Blakley,1898-11-17,M,D,,401511,,1,,,,TX,2
8,B000593,James,Boggs,1909-05-15,M,R,,401561,,1,,,,DE,2
9,B000656,Joseph,Bottum,1903-08-07,M,R,,401619,,1,,,,SD,3
10,B000823,Henry,Bridges,1898-09-09,M,R,,401780,,25,,,,NH,2
11,B001077,Quentin,Burdick,1908-06-19,,D,,402023,,1,,,,ND,1
12,B001167,Prescott,Bush,1895-05-15,,R,,402109,,9,,,,CT,3
13,B001180,John,Butler,1897-07-21,M,R,,402122,,11,,,,MD,3
14,B001210,Robert,Byrd,1917-11-20,M,D,,300016,,3,,,,WV,1
15,B001208,Harry,Byrd,1887-06-10,M,D,,402148,,28,,,,VA,1
16,C000120,Howard,Cannon,1912-01-26,M,D,,402271,,3,,,,NV,1
17,C000128,Homer,Capehart,1897-06-06,M,R,,402278,,17,,,,IN,3
18,C000154,Frank,Carlson,1893-01-23,M,R,,402303,,11,,,,KS,3
19,C000189,John,Carroll,1901-07-30,M,D,,402336,,5,,,,CO,3
20,C000221,Francis,Case,1896-12-09,,R,,402367,,11,,,,SD,3
21,C000220,Clifford,Case,1904-04-16,,R,,402366,,7,,,,NJ,2
22,C000338,Dennis,Chavez,1888-04-08,,D,,402478,,26,,,,NM,1
23,C000388,Frank,Church,1924-07-25,M,D,,402527,,5,,,,ID,3
24,C000444,Joseph,Clark,1901-10-21,M,D,,402582,,5,,,,PA,3
