,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,senate_class,state_names
0,A000355,Spencer,Abraham,1952-06-12,M,R,False,400555,,1,919,0,0,MI,1,Michigan
1,A000069,Daniel,Akaka,1924-09-11,M,D,False,300001,8704.0,5,919,12,0,HI,1,Hawaii
2,A000356,John,Ashcroft,1942-05-09,M,R,False,400556,,1,919,14,0,MO,1,Missouri
3,B000243,Max,Baucus,1941-12-11,M,D,False,300005,1727.0,17,919,7,0,MT,2,Montana
4,B000382,Robert,Bennett,1933-09-18,M,R,False,300007,25708.0,3,919,29,0,UT,3,Utah
5,B000444,Joseph,Biden,1942-11-20,M,D,False,300008,34.0,23,919,25,0,DE,2,Delaware
6,B000468,Jeff,Bingaman,1943-10-03,M,D,False,300009,590.0,13,919,8,0,NM,1,New Mexico
7,B000611,Christopher,Bond,1939-03-06,M,R,False,300010,2360.0,9,919,24,17,MO,3,Missouri
8,B000711,Barbara,Boxer,1940-11-11,F,D,False,300011,2470.0,3,919,16,2,CA,3,California
9,B001225,William,Bradley,1943-07-28,M,D,False,401709,,17,919,80,1,NJ,2,New Jersey
10,B000780,John,Breaux,1944-03-01,M,D,False,300012,,9,919,8,0,LA,3,Louisiana
11,B000919,Hank,Brown,1940-02-12,M,R,False,401874,,5,919,0,0,CO,2,Colorado
12,B000953,Sam,Brownback,1956-09-12,M,R,False,300013,,1,919,0,0,KS,3,Kansas
13,B000993,Richard,Bryan,1937-07-16,M,D,False,400557,,7,919,2,0,NV,1,Nevada
14,B001057,Dale,Bumpers,1925-08-12,M,D,False,402004,,21,919,39,0,AR,3,Arkansas
15,B001126,Conrad,Burns,1935-01-25,M,R,False,300015,,7,919,2,0,MT,1,Montana
16,B001210,Robert,Byrd,1917-11-20,M,D,False,300016,,37,919,0,0,WV,1,West Virginia
17,C000077,Ben,Campbell,1933-04-13,M,R,False,300017,,3,919,34,0,CO,3,Colorado
18,C000077,Ben,Campbell,1933-04-13,M,D,False,300017,,3,919,2,0,CO,3,Colorado
19,C000269,John,Chafee,1922-10-22,M,R,False,402412,,19,919,6,0,RI,1,Rhode Island
20,C000542,Daniel,Coats,1943-05-16,M,R,False,402675,6080.0,7,919,14,0,IN,3,Indiana
21,C000567,Thad,Cochran,1937-12-07,M,R,False,300023,1200.0,17,919,22,0,MS,2,Mississippi
22,C000598,William,Cohen,1940-08-28,M,R,False,402727,,17,919,20,0,ME,2,Maine
23,C000705,Kent,Conrad,1948-03-12,M,D,False,300026,2517.0,9,919,15,0,ND,1,North Dakota
24,C000813,Paul,Coverdell,1939-01-20,M,R,False,400558,,3,919,3,1,GA,3,Georgia
25,C000858,Larry,Craig,1945-07-20,M,R,False,300029,,5,919,0,0,ID,2,Idaho
26,D000018,Alfonse,D'Amato,1937-08-01,M,R,False,403142,,15,919,13,1,NY,3,New York
27,D000064,Thomas,Daschle,1947-12-09,M,D,False,300031,,9,919,2,0,SD,3,South Dakota
28,D000294,Michael,DeWine,1947-01-05,M,R,False,300033,,1,919,2,0,OH,1,Ohio
29,D000388,Christopher,Dodd,1944-05-27,M,D,False,300034,,15,919,7,0,CT,3,Connecticut
30,D000401,Robert,Dole,1923-07-22,M,R,False,403515,,27,919,15,0,KS,3,Kansas
31,D000407,Pete,Domenici,1932-05-07,M,R,False,300036,,23,919,19,0,NM,2,New Mexico
32,D000432,Byron,Dorgan,1942-05-14,M,D,False,300037,2318.0,3,919,10,0,ND,3,North Dakota
33,E000284,J. James,Exon,1921-08-09,M,D,False,403962,,17,919,22,1,NE,2,Nebraska
34,F000437,Lauch,Faircloth,1928-01-14,M,R,False,403968,,3,919,29,0,NC,3,North Carolina
35,F000061,Russ,Feingold,1953-03-02,M,D,False,300042,,3,919,1,0,WI,3,Wisconsin
36,F000062,Dianne,Feinstein,1933-06-22,F,D,False,300043,13061.0,3,919,6,0,CA,1,California
37,F000268,Wendell,Ford,1924-09-08,M,D,False,404219,,21,919,3,0,KY,3,Kentucky
38,F000438,Sheila,Frahm,1945-03-22,F,R,False,404281,,1,919,7,0,KS,3,Kansas
39,F000439,William,Frist,1952-02-22,M,R,False,300045,,1,919,7,0,TN,1,Tennessee
40,G000236,John,Glenn,1921-07-18,M,D,False,404598,,21,919,13,0,OH,3,Ohio
41,G000333,Slade,Gorton,1928-01-08,M,R,False,400559,,13,919,1,1,WA,1,Washington
42,G000352,Bob,Graham,1936-11-09,M,D,False,300046,,9,919,4,0,FL,3,Florida
43,G000365,Phil,Gramm,1942-07-08,M,R,False,300159,,11,919,87,0,TX,2,Texas
44,G000367,Rod,Grams,1948-02-04,M,R,False,400560,,1,919,14,0,MN,1,Minnesota
45,G000386,Charles,Grassley,1933-09-17,M,R,False,300048,1167.0,15,919,0,0,IA,3,Iowa
46,G000445,Judd,Gregg,1947-02-14,M,R,False,300049,,3,919,16,0,NH,3,New Hampshire
47,H000206,Tom,Harkin,1939-11-19,M,D,False,300051,2005.0,11,919,6,0,IA,2,Iowa
48,H000338,Orrin,Hatch,1934-03-22,M,R,False,300052,189.0,19,919,9,0,UT,1,Utah
49,H000343,Mark,Hatfield,1922-07-12,M,R,False,405212,,29,919,70,0,OR,2,Oregon
50,H000445,Howell,Heflin,1921-06-19,M,D,False,405310,,17,919,28,0,AL,2,Alabama
51,H000463,Jesse,Helms,1921-10-18,M,R,False,300154,,23,919,38,0,NC,2,North Carolina
52,H000725,Ernest,Hollings,1922-01-01,M,D,False,300053,,29,919,16,0,SC,3,South Carolina
53,H001016,Kay,Hutchison,1943-07-22,F,R,False,300054,24713.0,3,919,7,0,TX,1,Texas
54,I000024,James,Inhofe,1934-11-17,M,R,False,300055,5619.0,3,919,21,0,OK,2,Oklahoma
55,I000025,Daniel,Inouye,1924-09-07,M,D,False,300056,2568.0,27,919,46,0,HI,3,Hawaii
56,J000072,James,Jeffords,1934-05-11,M,R,False,300057,,7,919,19,2,VT,1,Vermont
57,J000189,John,Johnston,1932-06-10,M,D,False,406084,,23,919,31,0,LA,2,Louisiana
58,K000017,Nancy,Kassebaum,1932-07-29,F,R,False,406188,,17,919,59,1,KS,2,Kansas
59,K000088,Dirk,Kempthorne,1951-10-29,M,R,False,406256,,3,919,5,0,ID,3,Idaho
60,K000105,Edward,Kennedy,1932-02-22,M,D,False,300059,,33,919,26,0,MA,1,Massachusetts
61,K000146,J. Robert,Kerrey,1943-08-27,M,D,False,400561,,7,919,22,0,NE,1,Nebraska
