,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,senate_class
0,A000009,James,Abdnor,1923-02-13,M,R,,400672,,3,,,,SD,3
1,A000208,Mark,Andrews,1926-05-19,M,R,,400881,,3,,,,ND,3
2,A000219,William,Armstrong,1937-03-16,M,R,,400927,,5,,,,CO,2
3,B000063,Howard,Baker,1925-11-15,M,R,,401067,,17,,,,TN,2
4,B000243,Max,Baucus,1941-12-11,M,D,,300005,1727,5,,,,MT,2
5,B000401,Lloyd,Bentsen,1921-02-11,,D,,401391,,13,,,,TX,1
6,B000444,Joseph,Biden,1942-11-20,M,D,,300008,34,11,,,,DE,2
7,B000468,Jeff,Bingaman,1943-10-03,M,D,,300009,590,1,,,,NM,1
8,B000639,David,Boren,1941-04-21,M,D,,401604,,5,,,,OK,2
9,B000647,Rudolph,Boschwitz,1930-11-07,,R,,401611,,5,,,,MN,2
10,B001225,William,Bradley,1943-07-28,M,D,,401709,,5,,,,NJ,2
11,B001057,Dale,Bumpers,1925-08-12,M,D,,402004,,9,,,,AR,3
12,B001077,Quentin,Burdick,1908-06-19,,D,,402023,,23,,,,ND,1
13,B001210,Robert,Byrd,1917-11-20,M,D,,300016,,25,,,,WV,1
14,C000269,John,Chafee,1922-10-22,M,R,,402412,,7,,,,RI,1
15,C000322,Eugene,Chappie,1920-03-28,M,R,,402464,,3,,,,WA,3
16,C000356,Lawton,Chiles,1930-04-03,,D,,402495,,13,,,,FL,1
17,C000567,Thad,Cochran,1937-12-07,M,R,,300023,1200,5,,,,MS,2
18,C000598,William,Cohen,1940-08-28,M,R,,402727,,5,,,,ME,2
19,C000877,Alan,Cranston,1914-06-19,,D,,402990,,15,,,,CA,3
20,D000018,Alfonse,D'Amato,1937-08-01,M,R,,403142,,3,,,,NY,3
21,D000030,John,Danforth,1936-09-05,M,R,,403171,103,7,,,,MO,1
22,D000185,Dennis,DeConcini,1937-05-08,M,D,,403346,,7,,,,AZ,1
23,D000259,Jeremiah,Denton,1924-07-15,M,R,,403397,,3,,,,AL,3
24,D000366,Alan,Dixon,1927-07-07,,D,,403483,,3,,,,IL,3
25,D000388,Christopher,Dodd,1944-05-27,M,D,,300034,,3,,,,CT,3
26,D000401,Robert,Dole,1923-07-22,M,R,,403515,,15,,,,KS,3
27,D000407,Pete,Domenici,1932-05-07,M,R,,300036,,11,,,,NM,2
28,D000566,David,Durenberger,1934-08-19,M,R,,403669,,5,,,,MN,1
29,E000004,Thomas,Eagleton,1929-09-04,M,D,,403700,,15,,,,MO,3
30,E000017,John,East,1931-05-05,M,R,,403713,,3,,,,NC,3
31,E000236,Daniel,Evans,1925-10-16,M,R,,403920,,1,,,,WA,1
32,E000284,J. James,Exon,1921-08-09,M,D,,403962,,5,,,,NE,2
33,F000268,Wendell,Ford,1924-09-08,M,D,,404219,,9,,,,KY,3
34,G000072,Edwin,Garn,1932-10-12,M,R,,404444,,9,,,,UT,3
35,G000236,John,Glenn,1921-07-18,M,D,,404598,,9,,,,OH,3
36,G000267,Barry,Goldwater,1909-01-01,M,R,,404629,,27,,,,AZ,3
37,G000333,Slade,Gorton,1928-01-08,M,R,,400559,,3,,,,WA,3
38,G000386,Charles,Grassley,1933-09-17,M,R,,300048,1167,3,,,,IA,3
39,H000287,Gary,Hart,1936-11-28,,D,,405161,,9,,,,CO,3
40,H000338,Orrin,Hatch,1934-03-22,M,R,,300052,189,7,,,,UT,1
41,H000343,Mark,Hatfield,1922-07-12,M,R,,405212,,16,,,,OR,2
42,H000374,Paula,Hawkins,1927-01-24,F,R,,405242,,3,,,,FL,3
43,H000439,Jacob,Hecht,1928-11-30,M,R,,405305,,1,,,,NV,1
44,H000445,Howell,Heflin,1921-06-19,M,D,,405310,,5,,,,AL,2
45,H000456,Henry,Heinz,1938-10-23,M,R,,405321,,7,,,,PA,1
46,H000463,Jesse,Helms,1921-10-18,M,R,,300154,,11,,,,NC,2
47,H000725,Ernest,Hollings,1922-01-01,M,D,,300053,,17,,,,SC,3
48,H000905,Walter,Huddleston,1926-04-15,M,D,,405751,,11,,,,KY,2
49,H000951,Gordon,Humphrey,1940-10-09,,R,,405795,,5,,,,NH,2
