,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,senate_class
0,A000062,George,Aiken,1892-08-20,M,R,,400722,,11,,,,VT,3
1,A000186,Clinton,Anderson,1895-10-23,,D,,400841,,3,,,,NM,2
2,B000384,Wallace,Bennett,1898-11-13,,R,,401375,,1,,,,UT,3
3,B000399,William,Benton,1900-04-01,M,D,,401390,,2,,,,CT,1
4,B000816,Ralph,Brewster,1888-02-22,M,R,,401773,,11,,,,ME,1
5,B000820,John,Bricker,,M,R,,401777,,5,,,,OH,1
6,B000823,Henry,Bridges,1898-09-09,M,R,,401780,,16,,,,NH,2
7,B001167,Prescott,Bush,1895-05-15,,R,,402109,,1,,,,CT,3
8,B001177,Hugh,Butler,,M,R,,402119,,11,,,,NE,1
9,B001180,John,Butler,1897-07-21,M,R,,402122,,1,,,,MD,3
10,B001208,Harry,Byrd,1887-06-10,M,D,,402148,,18,,,,VA,1
11,C000021,Harry,Cain,1906-01-10,M,R,,402182,,5,,,,WA,1
12,C000128,Homer,Capehart,1897-06-06,M,R,,402278,,7,,,,IN,3
13,C000154,Frank,Carlson,1893-01-23,M,R,,402303,,1,,,,KS,3
14,C000221,Francis,Case,1896-12-09,,R,,402367,,1,,,,SD,3
15,C000317,Virgil,Chapman,1895-03-15,,D,,402459,,3,,,,KY,2
16,C000338,Dennis,Chavez,1888-04-08,,D,,402478,,16,,,,NM,1
17,C000506,Earle,Clements,1896-10-22,,D,,402642,,1,,,,KY,3
18,C000684,Thomas,Connally,1877-08-19,M,D,,402810,,22,,,,TX,1
19,C000758,John,Cooper,1901-08-23,M,R,,402878,,3,,,,KY,2
20,C000774,Guy,Cordon,1890-04-24,M,R,,402894,,7,,,,OR,2
21,D000360,Everett,Dirksen,1896-01-04,,R,,403477,,2,,,,IL,3
22,D000456,Paul,Douglas,1892-03-26,M,D,,403566,,3,,,,IL,2
23,D000516,James,Duff,1883-01-21,M,R,,403626,,1,,,,PA,3
24,D000585,Henry,Dworshak,1894-08-29,M,R,,403688,,4,,,,ID,2
25,E000018,James,Eastland,1904-11-28,M,D,,403714,,9,,,,MS,2
26,E000037,Zales,Ecton,1898-04-01,,R,,403732,,5,,,,MT,1
27,E000112,Allen,Ellender,1890-09-24,,D,,403803,,15,,,,LA,2
28,F000081,Homer,Ferguson,1889-02-25,M,R,,404039,,9,,,,MI,2
29,F000190,Ralph,Flanders,1880-09-28,M,R,,404145,,5,,,,VT,1
30,F000356,Joseph,Frear,1903-03-07,M,D,,404303,,3,,,,DE,2
31,F000401,James,Fulbright,1905-04-09,M,D,,404343,,7,,,,AR,3
32,G000131,Walter,George,1878-01-29,M,D,,404501,,29,,,,GA,3
33,G000205,Guy,Gillette,1879-02-03,M,D,,404569,,11,,,,IA,2
34,G000418,Theodore,Green,1867-10-02,M,D,,404766,,15,,,,RI,2
35,G000481,Dwight,Griswold,1893-11-27,,R,,404826,,1,,,,NE,2
36,H000385,Carl,Hayden,1877-10-02,M,D,,405253,,24,,,,AZ,3
37,H000495,Robert,Hendrickson,1898-08-12,M,R,,405358,,3,,,,NJ,2
38,H000502,Thomas,Hennings,1903-06-25,M,D,,405365,,1,,,,MO,3
39,H000559,Bourke,Hickenlooper,1896-07-21,,R,,405421,,7,,,,IA,3
40,H000598,Joseph,Hill,1894-12-29,M,D,,405460,,14,,,,AL,3
41,H000679,Clyde,Hoey,1877-12-11,,D,,405532,,7,,,,NC,3
42,H000720,Spessard,Holland,1892-07-10,,D,,405572,,5,,,,FL,1
43,H000953,Hubert,Humphrey,1911-05-27,M,I,,405797,,3,,,,MN,2
44,H000975,Lester,Hunt,1892-07-08,M,D,,405819,,3,,,,WY,2
45,I000050,Irving,Ives,1896-01-24,,R,,405905,,5,,,,NY,1
46,J000093,William,Jenner,1908-07-21,M,R,,405995,,5,,,,IN,1
47,J000127,Edwin,Johnson,1884-01-01,M,D,,406026,,15,,,,CO,2
48,J000160,Lyndon,Johnson,,,D,,406058,,2,,,,TX,2
49,J000195,Olin,Johnston,1896-11-18,,D,,406090,,7,,,,SC,3
50,K000044,Carey,Kefauver,1903-07-26,M,D,,406214,,3,,,,TN,2
51,K000082,James,Kem,1890-04-02,M,R,,406251,,5,,,,MO,1
52,K000144,Robert,Kerr,1896-09-11,M,D,,406310,,3,,,,OK,2
53,K000176,Harley,Kilgore,1893-01-11,,D,,406339,,11,,,,WV,1
54,K000292,William,Knowland,1908-06-26,M,R,,406448,,6,,,,CA,1
55,K000335,Thomas,Kuchel,1910-08-15,M,R,,406489,,1,,,,CA,3
56,L000070,William,Langer,1886-09-30,M,R,,406579,,11,,,,ND,1
57,L000224,Herbert,Lehman,1878-03-28,M,D,,406728,,2,,,,NY,3
58,L000394,Henry,Lodge,1902-07-05,M,R,,406886,,12,,,,MA,1
59,L000428,Russell,Long,1918-11-03,,D,,406918,,3,,,,LA,3
