,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,senate_class,state_names
0,A000069,Daniel,Akaka,1924-09-11,M,D,False,300001,8704.0,17,657,2,0,HI,1,Hawaii
1,A000360,Lamar,Alexander,1940-07-03,M,R,False,300002,5.0,5,657,29,0,TN,2,Tennessee
2,A000109,Wayne,Allard,1943-12-02,M,R,False,300003,,11,657,23,0,CO,2,Colorado
3,B001261,John,Barrasso,1952-07-21,M,R,False,412251,1024777.0,1,657,0,0,WY,1,Wyoming
4,B000243,Max,Baucus,1941-12-11,M,D,False,300005,1727.0,29,657,2,0,MT,2,Montana
5,B001233,Evan,Bayh,1955-12-26,M,D,False,300006,,9,657,19,0,IN,3,Indiana
6,B000382,Robert,Bennett,1933-09-18,M,R,False,300007,25708.0,15,657,8,0,UT,3,Utah
7,B000444,Joseph,Biden,1942-11-20,M,D,False,300008,34.0,35,657,209,0,DE,2,Delaware
8,B000468,Jeff,Bingaman,1943-10-03,M,D,False,300009,590.0,25,657,8,0,NM,1,New Mexico
9,B000611,Christopher,Bond,1939-03-06,M,R,False,300010,2360.0,21,657,27,0,MO,3,Missouri
10,B000711,Barbara,Boxer,1940-11-11,F,D,False,300011,2470.0,15,657,37,3,CA,3,California
11,B000944,Sherrod,Brown,1952-11-09,M,D,False,400050,5051.0,1,657,10,0,OH,1,Ohio
12,B000953,Sam,Brownback,1956-09-12,M,R,False,300013,,13,657,142,0,KS,3,Kansas
13,B001066,Jim,Bunning,1931-10-23,M,R,False,300014,1457.0,9,657,21,0,KY,3,Kentucky
14,B001135,Richard,Burr,1955-11-30,M,R,False,400054,31054.0,3,657,19,1,NC,3,North Carolina
15,B001210,Robert,Byrd,1917-11-20,M,D,False,300016,,49,657,65,0,WV,1,West Virginia
16,C000127,Maria,Cantwell,1958-10-13,F,D,False,300018,26137.0,7,657,7,0,WA,1,Washington
17,C000141,Benjamin,Cardin,1943-10-05,M,D,False,400064,4004.0,1,657,5,0,MD,1,Maryland
18,C000174,Thomas,Carper,1947-01-23,M,D,False,300019,663.0,7,657,7,0,DE,1,Delaware
19,C001070,Bob,Casey,1960-04-13,M,D,False,412246,47036.0,1,657,0,0,PA,1,Pennsylvania
20,C000286,Saxby,Chambliss,1943-11-10,M,R,False,300021,36571.0,5,657,12,0,GA,2,Georgia
21,C001041,Hillary,Clinton,1947-10-26,F,D,False,300022,,7,657,208,0,NY,1,New York
22,C000560,Tom,Coburn,1948-03-14,M,R,False,400576,36751.0,3,657,50,0,OK,3,Oklahoma
23,C000567,Thad,Cochran,1937-12-07,M,R,False,300023,1200.0,29,657,9,0,MS,2,Mississippi
24,C001057,Norm,Coleman,1949-08-17,M,R,False,300024,,5,657,23,0,MN,2,Minnesota
25,C001035,Susan,Collins,1952-12-07,F,R,False,300025,45738.0,11,657,0,0,ME,2,Maine
