,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,district,at_large,geoid,state_names
0,A000014,Neil,Abercrombie,1938-06-26,M,D,False,400001,,10,1187,15,3,HI,1,False,1501,Hawaii
1,A000022,Gary,Ackerman,1942-11-19,M,D,False,400003,1002061.0,16,1187,105,0,NY,5,False,3605,New York
2,A000055,Robert,Aderholt,1965-07-22,M,R,False,400004,45516.0,2,1187,4,0,AL,4,False,104,Alabama
3,A000357,Thomas,Allen,1945-04-16,M,D,False,400007,,2,1187,17,0,ME,1,False,2301,Maine
4,A000210,Robert,Andrews,1957-08-04,M,D,False,400008,19670.0,10,1187,95,1,NJ,1,False,3401,New Jersey
5,A000215,Bill,Archer,1928-03-22,M,R,False,400567,,28,1187,54,0,TX,7,False,4807,Texas
6,A000217,Richard,Armey,1940-07-07,M,R,False,400551,,14,1187,35,0,TX,26,False,4826,Texas
7,B000013,Spencer,Bachus,1947-12-28,M,R,False,400010,26397.0,6,1187,11,0,AL,6,False,106,Alabama
8,B000028,Scotty,Baesler,1941-07-09,M,D,False,401033,,6,1187,38,0,KY,6,False,2106,Kentucky
9,B000072,Richard,Baker,1948-05-22,M,R,False,400012,,12,1187,65,0,LA,6,False,2206,Louisiana
10,B000081,John,Baldacci,1955-01-30,M,D,False,400525,,4,1187,9,1,ME,2,False,2302,Maine
11,B000104,Cass,Ballenger,1926-12-06,M,R,False,400015,,14,1187,52,0,NC,10,False,3710,North Carolina
12,B000134,James,Barcia,1952-02-25,M,D,False,400526,,6,1187,27,3,MI,5,False,2605,Michigan
13,B000169,Bob,Barr,1948-11-05,M,R,False,400514,,4,1187,37,5,GA,7,False,1307,Georgia
14,B000177,Thomas,Barrett,1953-12-08,M,D,False,400553,,6,1187,9,1,WI,5,False,5505,Wisconsin
15,B000179,Bill,Barrett,1929-02-09,M,R,False,400568,,8,1187,20,1,NE,3,False,3103,Nebraska
16,B000208,Roscoe,Bartlett,1926-06-03,M,R,False,400017,27026.0,6,1187,6,0,MD,6,False,2406,Maryland
17,B000213,Joe,Barton,1949-09-15,M,R,False,400018,5248.0,14,1187,59,0,TX,6,False,4806,Texas
18,B000220,Charles,Bass,1952-01-08,M,R,False,400019,37079.0,4,1187,10,0,NH,2,False,3302,New Hampshire
19,B000229,Herbert,Bateman,1928-08-07,M,R,False,400569,,16,1187,114,1,VA,1,False,5101,Virginia
20,B000287,Xavier,Becerra,1958-01-26,M,D,False,400021,26567.0,6,1187,89,5,CA,30,False,630,California
21,B000400,Ken,Bentsen,1959-06-03,M,D,False,400550,,4,1187,9,0,TX,25,False,4825,Texas
22,B000403,Douglas,Bereuter,1939-10-06,M,R,False,400023,,20,1187,21,0,NE,1,False,3101,Nebraska
23,B000410,Howard,Berman,1941-04-15,M,D,False,400025,1592.0,16,1187,130,3,CA,26,False,626,California
24,B000420,Marion,Berry,1942-08-27,M,D,False,400026,45115.0,2,1187,21,0,AR,1,False,501,Arkansas
25,B000461,Brian,Bilbray,1951-01-28,M,R,False,400570,36554.0,4,1187,33,2,CA,49,False,649,California
26,B000463,Michael,Bilirakis,1930-07-16,M,R,False,400028,,16,1187,26,0,FL,9,False,1209,Florida
27,B000490,Sanford,Bishop,1947-02-04,M,D,False,400030,26194.0,6,1187,15,3,GA,2,False,1302,Georgia
28,B000518,Rod,Blagojevich,1956-12-10,M,D,False,400518,,2,1187,37,2,IL,5,False,1705,Illinois
29,B000556,Tom,Bliley,1932-01-28,M,R,False,400571,,18,1187,21,0,VA,7,False,5107,Virginia
30,B000574,Earl,Blumenauer,1948-08-16,M,D,False,400033,43809.0,4,1187,42,3,OR,3,False,4103,Oregon
31,B000575,Roy,Blunt,1950-01-10,M,R,False,400034,45465.0,2,1187,34,0,MO,7,False,2907,Missouri
32,B000586,Sherwood,Boehlert,1936-09-28,M,R,False,400035,,16,1187,9,0,NY,23,False,3623,New York
33,B000589,John,Boehner,1949-11-17,M,R,False,400036,16740.0,8,1187,21,0,OH,8,False,3908,Ohio
34,B000617,Henry,Bonilla,1954-01-02,M,R,False,400037,,6,1187,77,1,TX,23,False,4823,Texas
35,B000619,David,Bonior,1945-06-06,M,D,False,400527,,22,1187,28,6,MI,10,False,2610,Michigan
36,B000622,Sonny,Bono,1935-02-16,M,R,False,401587,,4,1187,47,1,CA,44,False,644,California
37,B001228,Mary,Bono Mack,1961-10-24,F,R,False,400039,,2,1187,0,0,CA,44,False,644,California
38,B000644,Robert,Borski,1948-10-20,M,D,False,400542,,16,1187,29,1,PA,3,False,4203,Pennsylvania
39,B000652,Leonard,Boswell,1934-01-10,M,D,False,400042,45520.0,2,1187,5,0,IA,3,False,1903,Iowa
40,B000657,Rick,Boucher,1946-08-01,M,D,False,400043,6736.0,16,1187,81,0,VA,9,False,5109,Virginia
41,B000716,Allen,Boyd,1945-06-06,M,D,False,400044,46164.0,2,1187,7,0,FL,2,False,1202,Florida
42,B000755,Kevin,Brady,1955-04-11,M,R,False,400046,45749.0,2,1187,34,0,TX,8,False,4808,Texas
43,B001227,Robert,Brady,1945-04-07,M,D,False,400047,55227.0,2,1187,16,1,PA,1,False,4201,Pennsylvania
44,B000911,Corrine,Brown,1946-11-11,F,D,False,400048,26192.0,6,1187,76,1,FL,3,False,1203,Florida
45,B000918,George,Brown,1920-03-06,M,D,False,400572,,34,1187,67,1,CA,42,False,642,California
46,B000944,Sherrod,Brown,1952-11-09,M,D,False,400050,5051.0,6,1187,34,2,OH,13,False,3913,Ohio
47,B000996,Ed,Bryant,1948-09-07,,R,False,400549,,4,1187,16,0,TN,7,False,4707,Tennessee
48,B001066,Jim,Bunning,1931-10-23,M,R,False,300014,1457.0,12,1187,17,0,KY,4,False,2104,Kentucky
49,B001135,Richard,Burr,1955-11-30,M,R,False,400054,31054.0,4,1187,44,0,NC,5,False,3705,North Carolina
50,B001149,Dan,Burton,1938-06-21,M,R,False,400055,,16,1187,62,1,IN,6,False,1806,Indiana
51,B001203,Steve,Buyer,1958-11-26,M,R,False,400056,26475.0,6,1187,83,0,IN,5,False,1805,Indiana
52,C000052,Sonny,Callahan,1932-09-11,,R,False,400500,,14,1187,52,0,AL,1,False,101,Alabama
53,C000059,Ken,Calvert,1953-06-08,M,R,False,400057,26709.0,6,1187,15,0,CA,43,False,643,California
54,C000071,Dave,Camp,1953-07-09,M,R,False,400058,23039.0,8,1187,7,0,MI,4,False,2604,Michigan
55,C000100,Tom,Campbell,1952-08-14,M,R,False,400573,,8,1187,2,0,CA,15,False,615,California
56,C000107,Charles,Canady,1954-06-22,M,R,False,400574,,6,1187,10,0,FL,12,False,1212,Florida
