,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,district,at_large,geoid,state_names
0,A000014,Neil,Abercrombie,1938-06-26,M,D,False,400001,,14,996,48,1,HI,1,False,1501,Hawaii
2,A000022,Gary,Ackerman,1942-11-19,M,D,False,400003,1002061.0,20,996,89,4,NY,5,False,3605,New York
3,A000055,Robert,Aderholt,1965-07-22,M,R,False,400004,45516.0,6,996,24,0,AL,4,False,104,Alabama
4,A000358,Todd,Akin,1947-07-05,M,R,False,400005,87412.0,2,996,6,0,MO,2,False,2902,Missouri
5,A000357,Thomas,Allen,1945-04-16,M,D,False,400007,,6,996,29,1,ME,1,False,2301,Maine
6,A000210,Robert,Andrews,1957-08-04,M,D,False,400008,19670.0,14,996,27,0,NJ,1,False,3401,New Jersey
7,A000217,Richard,Armey,1940-07-07,M,R,False,400551,,18,996,26,0,TX,26,False,4826,Texas
8,B001234,Joe,Baca,1947-01-23,M,D,False,400009,81682.0,4,996,14,0,CA,42,False,642,California
9,B000013,Spencer,Bachus,1947-12-28,M,R,False,400010,26397.0,10,996,62,0,AL,6,False,106,Alabama
10,B001229,Brian,Baird,1956-03-07,M,D,False,400011,45981.0,4,996,17,0,WA,3,False,5303,Washington
11,B000072,Richard,Baker,1948-05-22,M,R,False,400012,,16,996,49,0,LA,6,False,2206,Louisiana
12,B000081,John,Baldacci,1955-01-30,M,D,False,400525,,8,996,46,0,ME,2,False,2302,Maine
13,B001230,Tammy,Baldwin,1962-02-11,F,D,False,400013,57884.0,4,996,19,1,WI,2,False,5502,Wisconsin
14,B000104,Cass,Ballenger,1926-12-06,M,R,False,400015,,18,996,39,0,NC,10,False,3710,North Carolina
15,B000134,James,Barcia,1952-02-25,M,D,False,400526,,10,996,40,1,MI,5,False,2605,Michigan
16,B000169,Bob,Barr,1948-11-05,M,R,False,400514,,8,996,61,4,GA,7,False,1307,Georgia
17,B000177,Thomas,Barrett,1953-12-08,M,D,False,400553,,10,996,56,1,WI,5,False,5505,Wisconsin
18,B000208,Roscoe,Bartlett,1926-06-03,M,R,False,400017,27026.0,10,996,8,3,MD,6,False,2406,Maryland
19,B000213,Joe,Barton,1949-09-15,M,R,False,400018,5248.0,18,996,64,0,TX,6,False,4806,Texas
20,B000220,Charles,Bass,1952-01-08,M,R,False,400019,37079.0,8,996,10,0,NH,2,False,3302,New Hampshire
21,B000287,Xavier,Becerra,1958-01-26,M,D,False,400021,26567.0,10,996,116,2,CA,30,False,630,California
22,B000400,Ken,Bentsen,1959-06-03,M,D,False,400550,,8,996,36,0,TX,25,False,4825,Texas
23,B000403,Douglas,Bereuter,1939-10-06,M,R,False,400023,,24,996,26,1,NE,1,False,3101,Nebraska
24,B001231,Shelley,Berkley,1951-01-20,F,D,False,400024,,4,996,16,0,NV,1,False,3201,Nevada
