,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,district,at_large,geoid,state_names
0,A000014,Neil,Abercrombie,1938-06-26,M,D,False,400001,,16,1221,49,1,HI,1,False,1501,Hawaii
2,A000022,Gary,Ackerman,1942-11-19,M,D,False,400003,1002061.0,22,1221,134,2,NY,5,False,3605,New York
3,A000055,Robert,Aderholt,1965-07-22,M,R,False,400004,45516.0,8,1221,46,0,AL,4,False,104,Alabama
4,A000358,Todd,Akin,1947-07-05,M,R,False,400005,87412.0,4,1221,43,0,MO,2,False,2902,Missouri
5,A000361,Rodney,Alexander,1946-12-05,M,R,False,400006,1004256.0,2,1221,0,0,LA,5,False,2205,Louisiana
6,A000361,Rodney,Alexander,1946-12-05,M,D,False,400006,1004256.0,2,1221,18,0,LA,5,False,2205,Louisiana
7,A000357,Thomas,Allen,1945-04-16,M,D,False,400007,,8,1221,22,0,ME,1,False,2301,Maine
8,A000210,Robert,Andrews,1957-08-04,M,D,False,400008,19670.0,16,1221,59,0,NJ,1,False,3401,New Jersey
9,B001234,Joe,Baca,1947-01-23,M,D,False,400009,81682.0,6,1221,23,0,CA,43,False,643,California
10,B000013,Spencer,Bachus,1947-12-28,M,R,False,400010,26397.0,12,1221,59,1,AL,6,False,106,Alabama
11,B001229,Brian,Baird,1956-03-07,M,D,False,400011,45981.0,6,1221,40,5,WA,3,False,5303,Washington
12,B000072,Richard,Baker,1948-05-22,M,R,False,400012,,18,1221,58,0,LA,6,False,2206,Louisiana
13,B001230,Tammy,Baldwin,1962-02-11,F,D,False,400013,57884.0,6,1221,7,0,WI,2,False,5502,Wisconsin
14,B001238,Frank,Ballance,1942-02-15,M,D,False,400014,,2,1221,60,3,NC,1,False,3701,North Carolina
15,B000104,Cass,Ballenger,1926-12-06,M,R,False,400015,,20,1221,146,0,NC,10,False,3710,North Carolina
16,B001239,J.,Barrett,1961-02-14,M,R,False,400016,1003613.0,2,1221,13,0,SC,3,False,4503,South Carolina
