,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,district,at_large,geoid
1,A000055,Robert,Aderholt,1965-07-22,M,R,False,400004,45516,18,1204,110,0,AL,4,False,104
3,A000367,Justin,Amash,1980-04-18,M,R,False,412438,1033767,4,1204,0,2,MI,3,False,2603
4,A000369,Mark,Amodei,1958-06-12,M,R,False,412500,62817,4,1204,98,0,NV,2,False,3202
6,B001256,Michele,Bachmann,1956-04-06,F,R,False,412216,1021492,8,1204,96,0,MN,6,False,2706
7,B000013,Spencer,Bachus,1947-12-28,M,R,False,400010,26397,22,1204,31,0,AL,6,False,106
8,B001279,Ron,Barber,1945-08-25,M,D,False,412502,31093,4,1204,33,0,AZ,2,False,402
9,B001269,Lou,Barletta,1956-01-28,M,R,False,412469,29618,4,1204,27,0,PA,11,False,4211
10,B001282,Andy,Barr,1973-07-24,M,R,False,412541,61848,2,1204,5,0,KY,6,False,2106
11,B001252,John,Barrow,1955-10-31,M,D,False,400628,1012025,10,1204,0,0,GA,12,False,1312
12,B000213,Joe,Barton,1949-09-15,M,R,False,400018,5248,30,1204,77,0,TX,6,False,4806
13,B001270,Karen,Bass,1953-10-03,F,D,False,412404,62502,4,1204,139,1,CA,37,False,637
14,B001281,Joyce,Beatty,1950-03-12,F,D,False,412565,67294,2,1204,23,1,OH,3,False,3903
15,B000287,Xavier,Becerra,1958-01-26,M,D,False,400021,26567,22,1204,40,1,CA,34,False,634
16,B001271,Dan,Benishek,1952-04-20,M,R,False,412436,61860,4,1204,35,2,MI,1,False,2601
17,B001280,Kerry,Bentivolio,1951-10-06,M,R,False,412547,79627,2,1204,6,0,MI,11,False,2611
18,B001287,Ami,Bera,1965-03-02,M,D,False,412512,1033636,2,1204,6,0,CA,7,False,607
19,B001257,Gus,Bilirakis,1963-02-08,M,R,False,412250,1022873,10,1204,22,0,FL,12,False,1212
20,B001242,Timothy,Bishop,1950-06-01,M,D,False,400031,1003587,12,1204,10,1,NY,1,False,3601
21,B000490,Sanford,Bishop,1947-02-04,M,D,False,400030,26194,22,1204,74,1,GA,2,False,1302
22,B001250,Rob,Bishop,1951-07-13,M,R,False,400029,1003621,12,1204,78,0,UT,1,False,4901
23,B001273,Diane,Black,1951-01-16,F,R,False,412478,9268964,4,1204,16,0,TN,6,False,4706
24,B001243,Marsha,Blackburn,1952-06-06,F,R,False,400032,31226,12,1204,29,0,TN,7,False,4707
27,B001278,Suzanne,Bonamici,1954-10-14,F,D,False,412501,63966,4,1204,1,1,OR,1,False,4101
30,B001255,Charles,Boustany,1956-02-21,M,R,False,400636,1013047,10,1204,8,0,LA,3,False,2203
31,B001227,Robert,Brady,1945-04-07,M,D,False,400047,55227,18,1204,20,1,PA,1,False,4201
32,B000755,Kevin,Brady,1955-04-11,M,R,False,400046,45749,18,1204,52,0,TX,8,False,4808
33,B001259,Bruce,Braley,1957-10-30,M,D,False,412208,1020421,8,1204,34,0,IA,1,False,1901
35,B001283,Jim,Bridenstine,1975-06-15,M,R,False,412567,79705,2,1204,12,0,OK,1,False,4001
36,B001284,Susan,Brooks,1960-08-25,F,R,False,412539,623720,2,1204,6,2,IN,5,False,1805
37,B001274,Mo,Brooks,1954-04-29,M,R,False,412395,94888,4,1204,11,1,AL,5,False,105
38,B001262,Paul,Broun,1946-12-07,M,R,False,412252,1025092,8,1204,36,1,GA,10,False,1310
39,B000911,Corrine,Brown,1946-11-11,F,D,False,400048,26192,22,1204,68,1,FL,5,False,1205
40,B001285,Julia,Brownley,1952-08-28,F,D,False,412516,79783,2,1204,4,1,CA,26,False,626
41,B001260,Vern,Buchanan,1951-05-08,M,R,False,412196,1021626,8,1204,53,0,FL,16,False,1216
42,B001275,Larry,Bucshon,1962-05-31,M,R,False,412427,61837,4,1204,17,0,IN,8,False,1808
43,B001248,Michael,Burgess,1950-12-23,M,R,False,400052,1003620,12,1204,24,0,TX,26,False,4826
44,B001286,Cheri,Bustos,1961-10-17,F,D,False,412537,63949,2,1204,21,1,IL,17,False,1717
45,B001251,G.,Butterfield,1947-04-27,M,D,False,400616,1013540,12,1204,53,1,NC,1,False,3701
47,C000059,Ken,Calvert,1953-06-08,M,R,False,400057,26709,22,1204,17,0,CA,42,False,642
48,C000071,Dave,Camp,1953-07-09,M,R,False,400058,23039,24,1204,21,0,MI,4,False,2604
49,C001064,John,Campbell,1955-07-19,M,R,False,412011,1019004,10,1204,527,0,CA,45,False,645
51,C001047,Shelley,Capito,1953-11-26,F,R,False,400061,83737,14,1204,61,0,WV,2,False,5402
52,C001036,Lois,Capps,1938-01-10,F,D,False,400062,54075,18,1204,13,1,CA,24,False,624
53,C001037,Michael,Capuano,1952-01-09,M,D,False,400063,56760,16,1204,71,3,MA,7,False,2507
54,C001097,Tony,Cárdenas,1963-03-31,M,D,False,412517,63934,2,1204,63,1,CA,29,False,629
55,C001083,John,Carney,1956-05-20,M,D,False,412407,94948,4,1204,67,1,DE,At-Large,True,1000
56,C001072,André,Carson,1974-10-16,M,D,False,412258,1027364,8,1204,19,1,IN,7,False,1807
57,C001051,John,Carter,1941-11-06,M,R,False,400068,1004257,12,1204,62,0,TX,31,False,4831
58,C001090,Matt,Cartwright,1961-05-01,M,D,False,412571,79865,2,1204,7,1,PA,17,False,4217
59,C001075,Bill,Cassidy,1957-09-28,M,R,False,412269,1030546,6,1204,70,0,LA,6,False,2206
60,C001066,Kathy,Castor,1966-08-20,F,D,False,412195,1022874,8,1204,62,1,FL,14,False,1214
61,C001091,Joaquín,Castro,1974-09-16,M,D,False,412576,63974,2,1204,39,3,TX,20,False,4820
62,C000266,Steven,Chabot,1953-01-22,M,R,False,400071,36705,4,1204,1,0,OH,1,False,3901
63,C001076,Jason,Chaffetz,1967-03-26,M,R,False,412270,1031362,6,1204,76,0,UT,3,False,4903
65,C001080,Judy,Chu,1953-07-07,F,D,False,412379,92573,8,1204,49,1,CA,27,False,627
66,C001084,David,Cicilline,1961-07-15,M,D,False,412470,1033865,4,1204,34,1,RI,1,False,4401
68,C001067,Yvette,Clarke,1964-11-21,F,D,False,412221,1022875,8,1204,62,2,NY,9,False,3609
70,C001049,William,Clay,1956-07-27,M,D,False,400074,88332,14,1204,77,1,MO,1,False,2901
71,C001061,Emanuel,Cleaver,1944-10-26,M,D,False,400639,10933,10,1204,123,1,MO,5,False,2905
72,C000537,James,Clyburn,1940-07-21,M,D,False,400075,21607,22,1204,66,1,SC,6,False,4506
73,C000556,Howard,Coble,1931-03-18,M,R,False,400076,6961,30,1204,175,0,NC,6,False,3706
74,C001077,Mike,Coffman,1955-03-19,M,R,False,412271,1031340,6,1204,9,0,CO,6,False,806
75,C001068,Steve,Cohen,1949-05-24,M,D,False,412236,1022876,8,1204,25,2,TN,9,False,4709
76,C001053,Tom,Cole,1949-04-28,M,R,False,400077,1003609,12,1204,50,0,OK,4,False,4004
77,C001092,Chris,Collins,1950-05-20,M,R,False,412563,94144,2,1204,25,0,NY,27,False,3627
78,C001093,Doug,Collins,1966-08-16,M,R,False,412531,79719,2,1204,49,0,GA,9,False,1309
79,C001062,K.,Conaway,1948-06-11,M,R,False,400655,1004595,10,1204,17,2,TX,11,False,4811
80,C001078,Gerald,Connolly,1950-03-30,M,D,False,412272,1015936,6,1204,9,1,VA,11,False,5111
81,C000714,John,Conyers,1929-05-16,M,D,False,400080,1824,50,1204,52,1,MI,13,False,2613
82,C001094,Paul,Cook,1943-03-03,M,R,False,412513,68278,2,1204,13,0,CA,8,False,608
83,C000754,Jim,Cooper,1954-06-19,M,D,False,400081,1201,12,1204,21,1,TN,5,False,4705
84,C001059,Jim,Costa,1952-04-13,M,D,False,400618,19599,10,1204,66,1,CA,16,False,616
85,C001095,Tom,Cotton,1977-05-13,M,R,False,412508,63928,2,1204,12,0,AR,4,False,504
86,C001069,Joe,Courtney,1953-04-06,M,D,False,412193,1021284,8,1204,27,1,CT,2,False,902
87,C001096,Kevin,Cramer,1961-01-21,M,R,False,412555,7600,2,1204,61,0,ND,At-Large,True,3800
88,C001087,Rick,Crawford,1966-01-22,M,R,False,412400,623259,4,1204,84,0,AR,1,False,501
89,C001045,Ander,Crenshaw,1944-09-01,M,R,False,400086,1007679,14,1204,32,0,FL,4,False,1204
90,C001038,Joseph,Crowley,1962-03-16,M,D,False,400087,57880,16,1204,32,1,NY,14,False,3614
91,C001063,Henry,Cuellar,1955-09-19,M,D,False,400657,1013062,10,1204,2,1,TX,28,False,4828
92,C001048,John,Culberson,1956-08-24,M,R,False,400089,88078,14,1204,119,0,TX,7,False,4807
93,C000984,Elijah,Cummings,1951-01-18,M,D,False,400090,43300,20,1204,30,1,MD,7,False,2407
94,D000618,Steve,Daines,1962-08-20,M,R,False,412549,1034037,2,1204,10,0,MT,At-Large,True,3000
95,D000619,Rodney,Davis,1970-01-05,M,R,False,412536,68337,2,1204,29,0,IL,13,False,1713
96,D000598,Susan,Davis,1944-04-13,F,D,False,400097,85595,14,1204,31,1,CA,53,False,653
97,D000096,Danny,Davis,1941-09-06,M,D,False,400093,44325,18,1204,81,1,IL,7,False,1707
98,D000191,Peter,DeFazio,1947-05-27,M,D,False,400100,6068,28,1204,32,1,OR,4,False,4104
99,D000197,Diana,DeGette,1957-07-29,F,D,False,400101,90293,18,1204,67,1,CO,1,False,801
100,D000620,John,Delaney,1963-04-16,M,D,False,412544,68432,2,1204,26,0,MD,6,False,2406
101,D000216,Rosa,DeLauro,1943-03-02,F,D,False,400103,19040,24,1204,44,0,CT,3,False,903
102,D000617,Suzan,DelBene,1962-02-17,F,D,False,412505,1033929,4,1204,9,1,WA,1,False,5301
103,D000612,Jeffrey,Denham,1967-07-29,M,R,False,412403,623287,4,1204,14,0,CA,10,False,610
104,D000604,Charlie,Dent,1960-05-24,M,R,False,400648,1011395,10,1204,4,2,PA,15,False,4215
105,D000621,Ron,DeSantis,1978-09-14,M,R,False,412526,79744,2,1204,4,0,FL,6,False,1206
106,D000616,Scott,DesJarlais,1964-02-21,M,R,False,412477,623517,4,1204,153,0,TN,4,False,4704
