,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,district,at_large,geoid,state_names
0,A000014,Neil,Abercrombie,1938-06-26,M,D,False,400001,,8,1340,45,2,HI,1,False,1501,Hawaii
1,A000022,Gary,Ackerman,1942-11-19,M,D,False,400003,1002061.0,14,1340,99,0,NY,5,False,3605,New York
2,A000109,Wayne,Allard,1943-12-02,M,R,False,300003,,6,1340,34,0,CO,4,False,804,Colorado
3,A000210,Robert,Andrews,1957-08-04,M,D,False,400008,19670.0,8,1340,90,0,NJ,1,False,3401,New Jersey
4,A000215,Bill,Archer,1928-03-22,M,R,False,400567,,26,1340,35,0,TX,7,False,4807,Texas
5,A000217,Richard,Armey,1940-07-07,M,R,False,400551,,12,1340,27,0,TX,26,False,4826,Texas
6,B000013,Spencer,Bachus,1947-12-28,M,R,False,400010,26397.0,4,1340,26,1,AL,6,False,106,Alabama
7,B000028,Scotty,Baesler,1941-07-09,M,D,False,401033,,4,1340,26,0,KY,6,False,2106,Kentucky
8,B000078,Bill,Baker,1940-06-14,M,R,False,401081,,4,1340,18,0,CA,10,False,610,California
9,B000072,Richard,Baker,1948-05-22,M,R,False,400012,,10,1340,83,0,LA,6,False,2206,Louisiana
10,B000081,John,Baldacci,1955-01-30,M,D,False,400525,,2,1340,19,0,ME,2,False,2302,Maine
11,B000104,Cass,Ballenger,1926-12-06,M,R,False,400015,,12,1340,18,0,NC,10,False,3710,North Carolina
12,B000134,James,Barcia,1952-02-25,M,D,False,400526,,4,1340,19,0,MI,5,False,2605,Michigan
13,B000169,Bob,Barr,1948-11-05,M,R,False,400514,,2,1340,22,2,GA,7,False,1307,Georgia
14,B000177,Thomas,Barrett,1953-12-08,M,D,False,400553,,4,1340,10,1,WI,5,False,5505,Wisconsin
15,B000179,Bill,Barrett,1929-02-09,M,R,False,400568,,6,1340,8,0,NE,3,False,3103,Nebraska
16,B000208,Roscoe,Bartlett,1926-06-03,M,R,False,400017,27026.0,4,1340,14,1,MD,6,False,2406,Maryland
17,B000213,Joe,Barton,1949-09-15,M,R,False,400018,5248.0,12,1340,54,0,TX,6,False,4806,Texas
18,B000220,Charles,Bass,1952-01-08,M,R,False,400019,37079.0,2,1340,13,0,NH,2,False,3302,New Hampshire
19,B000229,Herbert,Bateman,1928-08-07,M,R,False,400569,,14,1340,131,6,VA,1,False,5101,Virginia
20,B000287,Xavier,Becerra,1958-01-26,M,D,False,400021,26567.0,4,1340,167,6,CA,30,False,630,California
21,B000318,Anthony,Beilenson,1932-10-26,M,D,False,401310,,20,1340,20,1,CA,24,False,624,California
22,B000400,Ken,Bentsen,1959-06-03,M,D,False,400550,,2,1340,8,0,TX,25,False,4825,Texas
23,B000403,Douglas,Bereuter,1939-10-06,M,R,False,400023,,18,1340,8,0,NE,1,False,3101,Nebraska
24,B000410,Howard,Berman,1941-04-15,M,D,False,400025,1592.0,14,1340,123,1,CA,26,False,626,California
25,B000431,Tom,Bevill,1921-03-27,M,D,False,401417,,30,1340,48,0,AL,4,False,104,Alabama
26,B000461,Brian,Bilbray,1951-01-28,M,R,False,400570,36554.0,2,1340,38,0,CA,49,False,649,California
27,B000463,Michael,Bilirakis,1930-07-16,M,R,False,400028,,14,1340,18,1,FL,9,False,1209,Florida
28,B000490,Sanford,Bishop,1947-02-04,M,D,False,400030,26194.0,4,1340,65,2,GA,2,False,1302,Georgia
29,B000556,Tom,Bliley,1932-01-28,M,R,False,400571,,16,1340,39,0,VA,7,False,5107,Virginia
30,B000574,Earl,Blumenauer,1948-08-16,M,D,False,400033,43809.0,2,1340,12,0,OR,3,False,4103,Oregon
31,B000576,Peter,Blute,1956-01-28,M,R,False,401547,,4,1340,17,2,MA,3,False,2503,Massachusetts
32,B000586,Sherwood,Boehlert,1936-09-28,M,R,False,400035,,14,1340,9,0,NY,23,False,3623,New York
33,B000589,John,Boehner,1949-11-17,M,R,False,400036,16740.0,6,1340,27,0,OH,8,False,3908,Ohio
34,B000617,Henry,Bonilla,1954-01-02,M,R,False,400037,,4,1340,27,0,TX,23,False,4823,Texas
35,B000619,David,Bonior,1945-06-06,M,D,False,400527,,20,1340,9,0,MI,10,False,2610,Michigan
36,B000622,Sonny,Bono,1935-02-16,M,R,False,401587,,2,1340,57,0,CA,44,False,644,California
37,B000644,Robert,Borski,1948-10-20,M,D,False,400542,,14,1340,29,5,PA,3,False,4203,Pennsylvania
38,B000657,Rick,Boucher,1946-08-01,M,D,False,400043,6736.0,14,1340,69,0,VA,9,False,5109,Virginia
39,B000817,Bill,Brewster,1941-11-08,M,D,False,401774,,6,1340,50,0,OK,3,False,4003,Oklahoma
40,B000897,Glen,Browder,1943-01-15,M,D,False,401854,,8,1340,55,0,AL,3,False,103,Alabama
41,B000911,Corrine,Brown,1946-11-11,F,D,False,400048,26192.0,4,1340,68,4,FL,3,False,1203,Florida
42,B000918,George,Brown,1920-03-06,M,D,False,400572,,32,1340,96,1,CA,42,False,642,California
43,B000944,Sherrod,Brown,1952-11-09,M,D,False,400050,5051.0,4,1340,27,0,OH,13,False,3913,Ohio
44,B000953,Sam,Brownback,1956-09-12,M,R,False,300013,,2,1340,45,0,KS,2,False,2002,Kansas
45,B000996,Ed,Bryant,1948-09-07,,R,False,400549,,2,1340,21,0,TN,7,False,4707,Tennessee
46,B000997,John,Bryant,1947-02-22,M,D,False,401947,,14,1340,159,0,TX,5,False,4805,Texas
47,B001063,Jim,Bunn,1956-12-12,,R,False,402010,,2,1340,14,0,OR,5,False,4105,Oregon
48,B001066,Jim,Bunning,1931-10-23,M,R,False,300014,1457.0,10,1340,17,0,KY,4,False,2104,Kentucky
49,B001135,Richard,Burr,1955-11-30,M,R,False,400054,31054.0,2,1340,12,1,NC,5,False,3705,North Carolina
50,B001149,Dan,Burton,1938-06-21,M,R,False,400055,,14,1340,24,0,IN,6,False,1806,Indiana
51,B001203,Steve,Buyer,1958-11-26,M,R,False,400056,26475.0,4,1340,37,1,IN,5,False,1805,Indiana
52,C000052,Sonny,Callahan,1932-09-11,,R,False,400500,,12,1340,43,0,AL,1,False,101,Alabama
53,C000059,Ken,Calvert,1953-06-08,M,R,False,400057,26709.0,4,1340,47,0,CA,43,False,643,California
54,C000071,Dave,Camp,1953-07-09,M,R,False,400058,23039.0,6,1340,14,0,MI,4,False,2604,Michigan
55,C000100,Tom,Campbell,1952-08-14,M,R,False,400573,,6,1340,1,0,CA,15,False,615,California
56,C000107,Charles,Canady,1954-06-22,M,R,False,400574,,4,1340,9,0,FL,12,False,1212,Florida
57,C000141,Benjamin,Cardin,1943-10-05,M,D,False,400064,4004.0,10,1340,24,7,MD,3,False,2403,Maryland
58,C000243,Michael,Castle,1939-07-02,M,R,False,400070,70.0,4,1340,0,1,DE,At-Large,True,1000,Delaware
59,C000266,Steven,Chabot,1953-01-22,M,R,False,400071,36705.0,2,1340,12,0,OH,1,False,3901,Ohio
60,C000286,Saxby,Chambliss,1943-11-10,M,R,False,300021,36571.0,2,1340,8,0,GA,8,False,1308,Georgia
61,C000312,Jim,Chapman,1945-03-08,M,D,False,402454,,12,1340,271,0,TX,1,False,4801,Texas
62,C000345,Helen,Chenoweth-Hage,1938-01-27,F,R,False,400575,,2,1340,71,1,ID,1,False,1601,Idaho
63,C000377,Jon,Christensen,1963-02-20,M,R,False,402516,,2,1340,17,0,NE,2,False,3102,Nebraska
64,C000385,Dick,Chrysler,1942-04-29,,R,False,402524,,2,1340,32,0,MI,8,False,2608,Michigan
65,C000488,William,Clay,1931-04-30,M,D,False,402626,,28,1340,126,2,MO,1,False,2901,Missouri
66,C000494,Eva,Clayton,1934-09-16,F,D,False,400532,,6,1340,37,1,NC,1,False,3701,North Carolina
67,C000503,Bob,Clement,1943-09-23,M,D,False,400548,,10,1340,24,0,TN,5,False,4705,Tennessee
68,C000523,William,Clinger,1929-04-04,M,R,False,402657,,18,1340,59,0,PA,5,False,4205,Pennsylvania
69,C000537,James,Clyburn,1940-07-21,M,D,False,400075,21607.0,4,1340,28,2,SC,6,False,4506,South Carolina
70,C000556,Howard,Coble,1931-03-18,M,R,False,400076,6961.0,12,1340,4,0,NC,6,False,3706,North Carolina
71,C000560,Tom,Coburn,1948-03-14,M,R,False,400576,36751.0,2,1340,42,1,OK,2,False,4002,Oklahoma
72,C000621,Ronald,Coleman,1941-11-29,M,D,False,402750,,14,1340,69,2,TX,16,False,4816,Texas
73,C000633,Barbara-Rose,Collins,1939-04-13,F,D,False,402762,,6,1340,256,1,MI,15,False,2615,Michigan
74,C000634,Cardiss,Collins,1931-09-24,F,D,False,402763,1965.0,24,1340,224,4,IL,7,False,1707,Illinois
75,C000640,Michael,Collins,1944-10-15,M,R,False,400078,,4,1340,12,0,GA,3,False,1303,Georgia
76,C000653,Larry,Combest,1945-03-20,M,R,False,400079,,12,1340,1,0,TX,19,False,4819,Texas
77,C000670,Gary,Condit,1948-04-21,M,D,False,400505,,8,1340,35,0,CA,18,False,618,California
78,C000714,John,Conyers,1929-05-16,M,D,False,400080,1824.0,32,1340,82,1,MI,14,False,2614,Michigan
79,C000737,Wes,Cooley,1932-03-28,,R,False,402858,,2,1340,9,2,OR,2,False,4102,Oregon
80,C000794,Jerry,Costello,1949-09-25,M,D,False,400082,6352.0,10,1340,27,0,IL,12,False,1712,Illinois
81,C000830,Christopher,Cox,1952-10-16,M,R,False,400083,,8,1340,66,0,CA,47,False,647,California
82,C000846,William,Coyne,1936-08-24,M,D,False,400543,,16,1340,15,1,PA,14,False,4214,Pennsylvania
