,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,district,at_large,geoid
0,A000014,Neil,Abercrombie,1938-06-26,M,D,,400001,,2,,,,HI,1,False,1501
1,A000022,Gary,Ackerman,1942-11-19,M,D,,400003,1002061,4,,,,NY,7,False,3607
2,A000052,Joseph,Addabbo,1925-03-17,M,D,,400713,,26,,,,NY,6,False,3606
3,A000069,Daniel,Akaka,1924-09-11,M,D,,300001,8704,10,,,,HI,2,False,1502
4,A000103,William,Alexander,1934-01-16,M,D,,400761,,18,,,,AR,1,False,0501
5,A000189,Glenn,Anderson,1913-02-21,,D,,400844,,18,,,,CA,32,False,0632
6,A000209,Michael,Andrews,1944-02-07,M,D,,400882,,4,,,,TX,25,False,4825
7,A000212,Frank,Annunzio,1915-01-12,M,D,,400895,,22,,,,IL,11,False,1711
8,A000213,Beryl,Anthony,1938-02-21,,D,,400898,,8,,,,AR,4,False,0504
9,A000214,Douglas,Applegate,1928-03-27,M,D,,400906,,10,,,,OH,18,False,3918
10,A000215,Bill,Archer,1928-03-22,M,R,,400567,,16,,,,TX,7,False,4807
11,A000217,Richard,Armey,1940-07-07,M,R,,400551,,2,,,,TX,26,False,4826
12,A000224,Leslie,Aspin,1938-07-21,M,D,,400967,,16,,,,WI,1,False,5501
13,A000226,Chester,Atkins,1948-04-14,M,D,,400975,,2,,,,MA,5,False,2505
14,A000337,Les,AuCoin,1942-10-21,,D,,400987,,12,,,,OR,1,False,4101
15,B000024,Robert,Badham,1929-06-09,M,R,,401029,,10,,,,CA,40,False,0640
16,B000153,Druie,Barnard,1922-03-20,,D,,401155,,10,,,,GA,10,False,1310
17,B000160,Michael,Barnes,1943-09-03,M,D,,401162,,8,,,,MD,8,False,2408
18,B000204,Harry,Bartlett,1947-09-19,M,R,,401203,,4,,,,TX,3,False,4803
19,B000213,Joe,Barton,1949-09-15,M,R,,400018,5248,2,,,,TX,6,False,4806
20,B000229,Herbert,Bateman,1928-08-07,M,R,,400569,,4,,,,VA,1,False,5101
21,B000236,Jim,Bates,1941-07-21,,D,,401231,,4,,,,CA,44,False,0644
22,B000298,Berkley,Bedell,1921-03-05,,D,,401291,,12,,,,IA,6,False,1906
23,B000318,Anthony,Beilenson,1932-10-26,M,D,,401310,,10,,,,CA,23,False,0623
24,B000371,Charles,Bennett,1910-12-02,M,D,,401363,,38,,,,FL,3,False,1203
25,B000392,Helen,Bentley,1923-11-28,F,R,,401383,,2,,,,MD,2,False,2402
26,B000403,Douglas,Bereuter,1939-10-06,M,R,,400023,,8,,,,NE,1,False,3101
27,B000410,Howard,Berman,1941-04-15,M,D,,400025,1592,4,,,,CA,26,False,0626
28,B000431,Tom,Bevill,1921-03-27,M,D,,401417,,20,,,,AL,4,False,0104
29,B000432,Mario,Biaggi,1917-10-26,,D,,401418,,18,,,,NY,19,False,3619
