,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,district,at_large,geoid
0,A000022,Gary,Ackerman,1942-11-19,M,D,,400003,1002061,6,,,,NY,7,False,3607
1,A000069,Daniel,Akaka,1924-09-11,M,D,,300001,8704,12,,,,HI,2,False,1502
2,A000103,William,Alexander,1934-01-16,M,D,,400761,,20,,,,AR,1,False,0501
3,A000189,Glenn,Anderson,1913-02-21,,D,,400844,,20,,,,CA,32,False,0632
4,A000209,Michael,Andrews,1944-02-07,M,D,,400882,,6,,,,TX,25,False,4825
5,A000212,Frank,Annunzio,1915-01-12,M,D,,400895,,24,,,,IL,11,False,1711
6,A000213,Beryl,Anthony,1938-02-21,,D,,400898,,10,,,,AR,4,False,0504
7,A000214,Douglas,Applegate,1928-03-27,M,D,,400906,,12,,,,OH,18,False,3918
8,A000215,Bill,Archer,1928-03-22,M,R,,400567,,18,,,,TX,7,False,4807
9,A000217,Richard,Armey,1940-07-07,M,R,,400551,,4,,,,TX,26,False,4826
10,A000224,Leslie,Aspin,1938-07-21,M,D,,400967,,18,,,,WI,1,False,5501
11,A000226,Chester,Atkins,1948-04-14,M,D,,400975,,4,,,,MA,5,False,2505
12,A000337,Les,AuCoin,1942-10-21,,D,,400987,,14,,,,OR,1,False,4101
13,B000024,Robert,Badham,1929-06-09,M,R,,401029,,12,,,,CA,40,False,0640
14,B000072,Richard,Baker,1948-05-22,M,R,,400012,,2,,,,LA,6,False,2206
15,B000104,Cass,Ballenger,1926-12-06,M,R,,400015,,2,,,,NC,10,False,3710
16,B000153,Druie,Barnard,1922-03-20,,D,,401155,,12,,,,GA,10,False,1310
17,B000204,Harry,Bartlett,1947-09-19,M,R,,401203,,6,,,,TX,3,False,4803
18,B000213,Joe,Barton,1949-09-15,M,R,,400018,5248,4,,,,TX,6,False,4806
19,B000229,Herbert,Bateman,1928-08-07,M,R,,400569,,6,,,,VA,1,False,5101
20,B000236,Jim,Bates,1941-07-21,,D,,401231,,6,,,,CA,44,False,0644
21,B000318,Anthony,Beilenson,1932-10-26,M,D,,401310,,12,,,,CA,23,False,0623
22,B000371,Charles,Bennett,1910-12-02,M,D,,401363,,40,,,,FL,3,False,1203
23,B000392,Helen,Bentley,1923-11-28,F,R,,401383,,4,,,,MD,2,False,2402
24,B000403,Douglas,Bereuter,1939-10-06,M,R,,400023,,10,,,,NE,1,False,3101
25,B000410,Howard,Berman,1941-04-15,M,D,,400025,1592,6,,,,CA,26,False,0626
26,B000431,Tom,Bevill,1921-03-27,M,D,,401417,,22,,,,AL,4,False,0104
27,B000432,Mario,Biaggi,1917-10-26,,D,,401418,,20,,,,NY,19,False,3619
28,B000462,James,Bilbray,1938-05-19,M,D,,401446,,2,,,,NV,1,False,3201
29,B000463,Michael,Bilirakis,1930-07-16,M,R,,400028,,6,,,,FL,9,False,1209
30,B000551,Ben,Blaz,1928-02-14,,R,,401526,,4,,,,GU,At-Large,True,6698
31,B000556,Tom,Bliley,1932-01-28,M,R,,400571,,8,,,,VA,3,False,5103
32,B000586,Sherwood,Boehlert,1936-09-28,M,R,,400035,,6,,,,NY,25,False,3625
33,B000592,Corinne,Boggs,1916-03-13,F,D,,401560,,16,,,,LA,2,False,2202
34,B000600,Edward,Boland,1911-10-01,M,D,,401568,,36,,,,MA,2,False,2502
35,B000615,William,Boner,1945-02-14,M,D,,401582,,10,,,,TN,5,False,4705
36,B000619,David,Bonior,1945-06-06,M,D,,400527,,12,,,,MI,12,False,2612
37,B000620,Don,Bonker,1937-03-07,,D,,401585,,14,,,,WA,3,False,5303
38,B000644,Robert,Borski,1948-10-20,M,D,,400542,,6,,,,PA,3,False,4203
39,B000648,Douglas,Bosco,1946-07-28,,D,,401612,,6,,,,CA,1,False,0601
40,B000657,Rick,Boucher,1946-08-01,M,D,,400043,6736,6,,,,VA,9,False,5109
41,B000666,Eldon,Boulter,1942-02-23,,R,,401628,,4,,,,TX,13,False,4813
42,B000711,Barbara,Boxer,1940-11-11,F,D,,300011,2470,6,,,,CA,6,False,0606
43,B000798,Joseph,Brennan,1934-11-02,M,D,,401755,,2,,,,ME,1,False,2301
44,B000880,Jack,Brooks,1922-12-18,M,D,,401837,,36,,,,TX,9,False,4809
45,B000890,William,Broomfield,1922-04-28,M,R,,401847,,32,,,,MI,18,False,2618
46,B000919,Hank,Brown,1940-02-12,M,R,,401874,,8,,,,CO,4,False,0804
47,B000918,George,Brown,1920-03-06,M,D,,400572,,24,,,,CA,36,False,0636
48,B000971,Terry,Bruce,1944-03-25,,D,,401923,,4,,,,IL,19,False,1719
49,B000997,John,Bryant,1947-02-22,M,D,,401947,,6,,,,TX,5,False,4805
50,B001036,John,Buechner,1940-06-04,M,R,,401986,,2,,,,MO,2,False,2902
51,B001066,Jim,Bunning,1931-10-23,M,R,,300014,1457,2,,,,KY,4,False,2104
52,B001149,Dan,Burton,1938-06-21,M,R,,400055,,6,,,,IN,6,False,1806
53,B001158,Sala,Burton,1925-04-01,F,D,,402100,,6,,,,CA,5,False,0605
54,B001172,Albert,Bustamante,1935-04-08,M,D,,402114,,4,,,,TX,23,False,4823
55,B001220,Beverly,Byron,1932-07-27,F,D,,402159,,10,,,,MD,6,False,2406
56,C000052,Sonny,Callahan,1932-09-11,,R,,400500,,4,,,,AL,1,False,0101
57,C000077,Ben,Campbell,1933-04-13,M,D,,300017,,2,,,,CO,3,False,0803
58,C000141,Benjamin,Cardin,1943-10-05,M,D,,400064,4004,2,,,,MD,3,False,2403
59,C000174,Thomas,Carper,1947-01-23,M,D,,300019,663,6,,,,DE,At-Large,True,1000
60,C000178,Bob,Carr,1943-03-27,M,D,,402325,,12,,,,MI,6,False,2606
61,C000293,Rodney,Chandler,1942-07-13,,R,,402435,,6,,,,WA,8,False,5308
62,C000312,Jim,Chapman,1945-03-08,M,D,,402454,,4,,,,TX,1,False,4801
63,C000321,William,Chappell,1922-02-03,M,D,,402463,,20,,,,FL,4,False,1204
64,C000344,Richard,Cheney,1941-01-30,M,R,,402484,,10,,,,WY,At-Large,True,5600
65,C000462,James,Clarke,1917-06-12,M,D,,402600,,4,,,,NC,11,False,3711
66,C000488,William,Clay,1931-04-30,M,D,,402626,,20,,,,MO,1,False,2901
67,C000503,Bob,Clement,1943-09-23,M,D,,400548,,2,,,,TN,5,False,4705
68,C000523,William,Clinger,1929-04-04,M,R,,402657,,10,,,,PA,23,False,4223
69,C000542,Daniel,Coats,1943-05-16,M,R,,402675,6080,8,,,,IN,4,False,1804
70,C000556,Howard,Coble,1931-03-18,M,R,,400076,6961,4,,,,NC,6,False,3706
71,C000581,Anthony,Coelho,1942-06-15,M,D,,402710,,10,,,,CA,15,False,0615
72,C000618,Earl,Coleman,1943-05-29,M,R,,402747,,12,,,,MO,6,False,2906
73,C000621,Ronald,Coleman,1941-11-29,M,D,,402750,,6,,,,TX,16,False,4816
74,C000634,Cardiss,Collins,1931-09-24,F,D,,402763,1965,16,,,,IL,7,False,1707
75,C000653,Larry,Combest,1945-03-20,M,R,,400079,,4,,,,TX,19,False,4819
76,C000709,Silvio,Conte,1921-11-09,,R,,402833,,30,,,,MA,1,False,2501
77,C000714,John,Conyers,1929-05-16,M,D,,400080,1824,24,,,,MI,1,False,2601
78,C000754,Jim,Cooper,1954-06-19,M,D,,400081,1201,6,,,,TN,4,False,4704
79,C000794,Jerry,Costello,1949-09-25,M,D,,400082,6352,2,,,,IL,21,False,1721
80,C000807,Robert,Coughlin,1929-04-11,M,R,,402926,,20,,,,PA,13,False,4213
81,C000809,James,Courter,1941-10-14,M,R,,402928,,10,,,,NJ,12,False,3412
82,C000846,William,Coyne,1936-08-24,M,D,,400543,,8,,,,PA,14,False,4214
83,C000858,Larry,Craig,1945-07-20,M,R,,300029,,8,,,,ID,1,False,1601
84,C000873,Philip,Crane,1930-11-03,M,R,,400085,,20,,,,IL,12,False,1712
85,C000919,George,Crockett,1909-08-10,M,D,,403031,,10,,,,MI,13,False,2613
86,D000038,Wilbur,Daniel,1914-05-12,M,D,,403178,,20,,,,VA,5,False,5105
87,D000044,William,Dannemeyer,1929-09-22,M,R,,403184,,10,,,,CA,39,False,0639
88,D000051,George,Darden,1943-11-22,M,D,,403190,,6,,,,GA,7,False,1307
89,D000065,Harold,Daub,1941-04-23,M,R,,403203,,8,,,,NE,2,False,3102
90,D000131,Robert,Davis,1932-07-31,M,R,,403266,,10,,,,MI,11,False,2611
91,D000106,Jack,Davis,1935-09-06,,R,,403242,,2,,,,IL,4,False,1704
92,D000203,Eligio,de la Garza,1927-09-22,M,D,,403308,,24,,,,TX,15,False,4815
93,D000209,Ron,de Lugo,1930-08-02,M,D,,403314,,14,,,,VI,At-Large,True,7898
94,D000191,Peter,DeFazio,1947-05-27,M,D,,400100,6068,2,,,,OR,4,False,4104
95,D000217,Thomas,DeLay,1947-04-08,M,R,,400104,,4,,,,TX,22,False,4822
96,D000222,Ronald,Dellums,1935-11-24,M,D,,403364,,18,,,,CA,8,False,0608
97,D000267,Butler,Derrick,1936-09-30,M,D,,403403,,14,,,,SC,3,False,4503
98,D000294,Michael,DeWine,1947-01-05,M,R,,300033,,6,,,,OH,7,False,3907
99,D000326,William,Dickinson,1925-06-05,M,R,,403446,,24,,,,AL,2,False,0102
