,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,district,at_large,geoid,state_names
0,A000022,Gary,Ackerman,1942-11-19,M,D,False,400003,1002061.0,30,1608,143,3,NY,5,False,3605,New York
1,A000366,Sandra,Adams,1956-12-14,F,R,False,412414,,2,1608,0,0,FL,24,False,1224,Florida
2,A000055,Robert,Aderholt,1965-07-22,M,R,False,400004,45516.0,16,1608,13,0,AL,4,False,104,Alabama
3,A000358,Todd,Akin,1947-07-05,M,R,False,400005,87412.0,12,1608,280,0,MO,2,False,2902,Missouri
4,A000361,Rodney,Alexander,1946-12-05,M,R,False,400006,1004256.0,10,1608,42,0,LA,5,False,2205,Louisiana
5,A000362,Jason,Altmire,1968-03-07,M,D,False,412231,1022872.0,6,1608,11,0,PA,4,False,4204,Pennsylvania
6,A000367,Justin,Amash,1980-04-18,M,R,False,412438,1033767.0,2,1608,0,41,MI,3,False,2603,Michigan
7,A000369,Mark,Amodei,1958-06-12,M,R,False,412500,62817.0,2,1608,39,0,NV,2,False,3202,Nevada
8,A000210,Robert,Andrews,1957-08-04,M,D,False,400008,19670.0,24,1608,64,1,NJ,1,False,3401,New Jersey
9,A000365,Steve,Austria,1958-10-12,M,R,False,412265,1031355.0,4,1608,77,0,OH,7,False,3907,Ohio
10,B001234,Joe,Baca,1947-01-23,M,D,False,400009,81682.0,14,1608,118,1,CA,43,False,643,California
11,B001256,Michele,Bachmann,1956-04-06,F,R,False,412216,1021492.0,6,1608,383,1,MN,6,False,2706,Minnesota
12,B000013,Spencer,Bachus,1947-12-28,M,R,False,400010,26397.0,20,1608,58,0,AL,6,False,106,Alabama
13,B001230,Tammy,Baldwin,1962-02-11,F,D,False,400013,57884.0,14,1608,49,1,WI,2,False,5502,Wisconsin
14,B001279,Ron,Barber,1945-08-25,M,D,False,412502,31093.0,2,1608,7,0,AZ,8,False,408,Arizona
15,B001269,Lou,Barletta,1956-01-28,M,R,False,412469,29618.0,2,1608,24,0,PA,11,False,4211,Pennsylvania
16,B001252,John,Barrow,1955-10-31,M,D,False,400628,1012025.0,8,1608,3,0,GA,12,False,1312,Georgia
17,B000208,Roscoe,Bartlett,1926-06-03,M,R,False,400017,27026.0,20,1608,47,1,MD,6,False,2406,Maryland
18,B000213,Joe,Barton,1949-09-15,M,R,False,400018,5248.0,28,1608,63,0,TX,6,False,4806,Texas
19,B000220,Charles,Bass,1952-01-08,M,R,False,400019,37079.0,2,1608,40,0,NH,2,False,3302,New Hampshire
20,B001270,Karen,Bass,1953-10-03,F,D,False,412404,62502.0,2,1608,123,1,CA,33,False,633,California
21,B000287,Xavier,Becerra,1958-01-26,M,D,False,400021,26567.0,20,1608,59,1,CA,31,False,631,California
22,B001271,Dan,Benishek,1952-04-20,M,R,False,412436,61860.0,2,1608,13,1,MI,1,False,2601,Michigan
23,B001272,Rick,Berg,1959-08-16,M,R,False,412458,,2,1608,38,0,ND,At-Large,True,3800,North Dakota
24,B001231,Shelley,Berkley,1951-01-20,F,D,False,400024,,14,1608,31,1,NV,1,False,3201,Nevada
25,B000410,Howard,Berman,1941-04-15,M,D,False,400025,1592.0,30,1608,101,1,CA,28,False,628,California
26,B001232,Judy,Biggert,1937-08-15,F,R,False,400027,57890.0,14,1608,13,0,IL,13,False,1713,Illinois
27,B000461,Brian,Bilbray,1951-01-28,M,R,False,400570,36554.0,8,1608,63,0,CA,50,False,650,California
28,B001257,Gus,Bilirakis,1963-02-08,M,R,False,412250,1022873.0,8,1608,52,0,FL,9,False,1209,Florida
29,B001242,Timothy,Bishop,1950-06-01,M,D,False,400031,1003587.0,10,1608,63,1,NY,1,False,3601,New York
30,B001250,Rob,Bishop,1951-07-13,M,R,False,400029,1003621.0,10,1608,71,3,UT,1,False,4901,Utah
31,B000490,Sanford,Bishop,1947-02-04,M,D,False,400030,26194.0,20,1608,66,2,GA,2,False,1302,Georgia
32,B001273,Diane,Black,1951-01-16,F,R,False,412478,9268964.0,2,1608,40,0,TN,6,False,4706,Tennessee
33,B001243,Marsha,Blackburn,1952-06-06,F,R,False,400032,31226.0,10,1608,16,0,TN,7,False,4707,Tennessee
34,B000574,Earl,Blumenauer,1948-08-16,M,D,False,400033,43809.0,18,1608,99,2,OR,3,False,4103,Oregon
35,B000589,John,Boehner,1949-11-17,M,R,Speaker of the House,400036,16740.0,22,1608,1594,0,OH,8,False,3908,Ohio
36,B001278,Suzanne,Bonamici,1954-10-14,F,D,False,412501,63966.0,2,1608,0,0,OR,1,False,4101,Oregon
37,B001244,Jo,Bonner,1959-11-19,M,R,False,400038,1003546.0,10,1608,58,0,AL,1,False,101,Alabama
38,B001228,Mary,Bono Mack,1961-10-24,F,R,False,400039,,16,1608,80,0,CA,45,False,645,California
40,B001254,Dan,Boren,1973-08-02,M,D,False,400645,1013053.0,8,1608,81,1,OK,2,False,4002,Oklahoma
41,B000652,Leonard,Boswell,1934-01-10,M,D,False,400042,45520.0,16,1608,17,0,IA,3,False,1903,Iowa
42,B001255,Charles,Boustany,1956-02-21,M,R,False,400636,1013047.0,8,1608,37,0,LA,7,False,2207,Louisiana
43,B000755,Kevin,Brady,1955-04-11,M,R,False,400046,45749.0,16,1608,55,0,TX,8,False,4808,Texas
44,B001227,Robert,Brady,1945-04-07,M,D,False,400047,55227.0,16,1608,22,1,PA,1,False,4201,Pennsylvania
45,B001259,Bruce,Braley,1957-10-30,M,D,False,412208,1020421.0,6,1608,87,0,IA,1,False,1901,Iowa
46,B001274,Mo,Brooks,1954-04-29,M,R,False,412395,94888.0,2,1608,12,0,AL,5,False,105,Alabama
47,B001262,Paul,Broun,1946-12-07,M,R,False,412252,1025092.0,6,1608,75,2,GA,10,False,1310,Georgia
48,B000911,Corrine,Brown,1946-11-11,F,D,False,400048,26192.0,20,1608,82,2,FL,3,False,1203,Florida
49,B001260,Vern,Buchanan,1951-05-08,M,R,False,412196,1021626.0,6,1608,34,0,FL,13,False,1213,Florida
50,B001275,Larry,Bucshon,1962-05-31,M,R,False,412427,61837.0,2,1608,16,0,IN,8,False,1808,Indiana
51,B001276,Ann Marie,Buerkle,1951-05-08,F,R,False,412456,,2,1608,36,0,NY,25,False,3625,New York
52,B001248,Michael,Burgess,1950-12-23,M,R,False,400052,1003620.0,10,1608,26,0,TX,26,False,4826,Texas
