,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,district,at_large,geoid
0,A000014,Neil,Abercrombie,1938-06-26,M,D,,400001,,20,1873,117,4,HI,1,False,1501
1,A000022,Gary,Ackerman,1942-11-19,M,D,,400003,1002061,26,1873,95,0,NY,5,False,3605
2,A000055,Robert,Aderholt,1965-07-22,M,R,,400004,45516,12,1873,51,4,AL,4,False,0104
3,A000358,Todd,Akin,1947-07-05,M,R,,400005,87412,8,1873,36,5,MO,2,False,2902
4,A000361,Rodney,Alexander,1946-12-05,M,R,,400006,1004256,6,1873,103,2,LA,5,False,2205
5,A000357,Thomas,Allen,1945-04-16,M,D,,400007,,12,1873,54,0,ME,1,False,2301
6,A000362,Jason,Altmire,1968-03-07,M,D,,412231,1022872,2,1873,0,0,PA,4,False,4204
7,A000210,Robert,Andrews,1957-08-04,M,D,,400008,19670,20,1873,225,0,NJ,1,False,3401
8,A000363,Michael,Arcuri,1959-06-11,M,D,,412224,1021495,2,1873,16,0,NY,24,False,3624
9,B001234,Joe,Baca,1947-01-23,M,D,,400009,81682,10,1873,58,0,CA,43,False,0643
10,B001256,Michele,Bachmann,1956-04-06,F,R,,412216,1021492,2,1873,33,3,MN,6,False,2706
11,B000013,Spencer,Bachus,1947-12-28,M,R,,400010,26397,16,1873,137,3,AL,6,False,0106
12,B001229,Brian,Baird,1956-03-07,M,D,,400011,45981,10,1873,103,1,WA,3,False,5303
13,B000072,Richard,Baker,1948-05-22,M,R,,400012,,22,1214,59,0,LA,6,False,2206
14,B001230,Tammy,Baldwin,1962-02-11,F,D,,400013,57884,10,1873,18,1,WI,2,False,5502
15,B001239,J.,Barrett,1961-02-14,M,R,,400016,1003613,6,1873,39,10,SC,3,False,4503
16,B001252,John,Barrow,1955-10-31,M,D,,400628,1012025,4,1873,26,2,GA,12,False,1312
17,B000208,Roscoe,Bartlett,1926-06-03,M,R,,400017,27026,16,1873,19,8,MD,6,False,2406
18,B000213,Joe,Barton,1949-09-15,M,R,,400018,5248,24,1873,60,2,TX,6,False,4806
19,B001253,Melissa,Bean,1962-01-22,F,D,,400631,,4,1873,82,1,IL,8,False,1708
20,B000287,Xavier,Becerra,1958-01-26,M,D,,400021,26567,16,1873,71,2,CA,31,False,0631
21,B001231,Shelley,Berkley,1951-01-20,F,D,,400024,,10,1873,73,0,NV,1,False,3201
22,B000410,Howard,Berman,1941-04-15,M,D,,400025,1592,26,1873,92,0,CA,28,False,0628
23,B000420,Marion,Berry,1942-08-27,M,D,,400026,45115,12,1873,56,0,AR,1,False,0501
24,B001232,Judy,Biggert,1937-08-15,F,R,,400027,57890,10,1873,13,1,IL,13,False,1713
25,B000461,Brian,Bilbray,1951-01-28,M,R,,400570,36554,4,1873,59,1,CA,50,False,0650
26,B001257,Gus,Bilirakis,1963-02-08,M,R,,412250,1022873,4,1873,18,0,FL,9,False,1209
27,B001242,Timothy,Bishop,1950-06-01,M,D,,400031,1003587,6,1873,35,0,NY,1,False,3601
28,B001250,Rob,Bishop,1951-07-13,M,R,,400029,1003621,6,1873,185,3,UT,1,False,4901
