,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,district,at_large,geoid
0,A000022,Gary,Ackerman,1942-11-19,M,D,,400003,1002061,2,,,,NY,7,False,3607
1,A000052,Joseph,Addabbo,1925-03-17,M,D,,400713,,24,,,,NY,6,False,3606
2,A000069,Daniel,Akaka,1924-09-11,M,D,,300001,8704,8,,,,HI,2,False,1502
3,A000076,Donald,Albosta,1925-12-05,M,D,,400735,,6,,,,MI,10,False,2610
4,A000103,William,Alexander,1934-01-16,M,D,,400761,,16,,,,AR,1,False,0501
5,A000189,Glenn,Anderson,1913-02-21,,D,,400844,,16,,,,CA,32,False,0632
6,A000209,Michael,Andrews,1944-02-07,M,D,,400882,,2,,,,TX,25,False,4825
7,A000207,Ike,Andrews,1925-09-02,,D,,400878,,12,,,,NC,4,False,3704
8,A000212,Frank,Annunzio,1915-01-12,M,D,,400895,,20,,,,IL,11,False,1711
9,A000213,Beryl,Anthony,1938-02-21,,D,,400898,,6,,,,AR,4,False,0504
10,A000214,Douglas,Applegate,1928-03-27,M,D,,400906,,8,,,,OH,18,False,3918
11,A000215,Bill,Archer,1928-03-22,M,R,,400567,,14,,,,TX,7,False,4807
12,A000224,Leslie,Aspin,1938-07-21,M,D,,400967,,14,,,,WI,1,False,5501
13,A000337,Les,AuCoin,1942-10-21,,D,,400987,,10,,,,OR,1,False,4101
14,B000024,Robert,Badham,1929-06-09,M,R,,401029,,8,,,,CA,40,False,0640
15,B000153,Druie,Barnard,1922-03-20,,D,,401155,,8,,,,GA,10,False,1310
16,B000160,Michael,Barnes,1943-09-03,M,D,,401162,,6,,,,MD,8,False,2408
17,B000204,Harry,Bartlett,1947-09-19,M,R,,401203,,2,,,,TX,3,False,4803
18,B000229,Herbert,Bateman,1928-08-07,M,R,,400569,,2,,,,VA,1,False,5101
19,B000236,Jim,Bates,1941-07-21,,D,,401231,,2,,,,CA,44,False,0644
20,B000298,Berkley,Bedell,1921-03-05,,D,,401291,,10,,,,IA,6,False,1906
21,B000318,Anthony,Beilenson,1932-10-26,M,D,,401310,,8,,,,CA,23,False,0623
22,B000371,Charles,Bennett,1910-12-02,M,D,,401363,,36,,,,FL,3,False,1203
23,B000403,Douglas,Bereuter,1939-10-06,M,R,,400023,,6,,,,NE,1,False,3101
24,B000410,Howard,Berman,1941-04-15,M,D,,400025,1592,2,,,,CA,26,False,0626
25,B000422,Edwin,Bethune,1935-12-19,M,R,,401408,,6,,,,AR,2,False,0502
26,B000431,Tom,Bevill,1921-03-27,M,D,,401417,,18,,,,AL,4,False,0104
27,B000432,Mario,Biaggi,1917-10-26,,D,,401418,,16,,,,NY,19,False,3619
28,B000463,Michael,Bilirakis,1930-07-16,M,R,,400028,,2,,,,FL,9,False,1209
29,B000556,Tom,Bliley,1932-01-28,M,R,,400571,,4,,,,VA,3,False,5103
30,B000586,Sherwood,Boehlert,1936-09-28,M,R,,400035,,2,,,,NY,25,False,3625
31,B000592,Corinne,Boggs,1916-03-13,F,D,,401560,,12,,,,LA,2,False,2202
32,B000600,Edward,Boland,1911-10-01,M,D,,401568,,32,,,,MA,2,False,2502
33,B000615,William,Boner,1945-02-14,M,D,,401582,,6,,,,TN,5,False,4705
34,B000619,David,Bonior,1945-06-06,M,D,,400527,,8,,,,MI,12,False,2612
35,B000620,Don,Bonker,1937-03-07,,D,,401585,,10,,,,WA,3,False,5303
36,B000644,Robert,Borski,1948-10-20,M,D,,400542,,2,,,,PA,3,False,4203
37,B000648,Douglas,Bosco,1946-07-28,,D,,401612,,2,,,,CA,1,False,0601
38,B000657,Rick,Boucher,1946-08-01,M,D,,400043,6736,2,,,,VA,9,False,5109
39,B000711,Barbara,Boxer,1940-11-11,F,D,,300011,2470,2,,,,CA,6,False,0606
40,B000780,John,Breaux,1944-03-01,M,D,,300012,,14,,,,LA,7,False,2207
41,B000845,Charles,Britt,1942-06-29,M,D,,401802,,2,,,,NC,6,False,3706
42,B000880,Jack,Brooks,1922-12-18,M,D,,401837,,32,,,,TX,9,False,4809
43,B000890,William,Broomfield,1922-04-28,M,R,,401847,,28,,,,MI,18,False,2618
44,B000918,George,Brown,1920-03-06,M,D,,400572,,20,,,,CA,36,False,0636
45,B000919,Hank,Brown,1940-02-12,M,R,,401874,,4,,,,CO,4,False,0804
46,B000966,James,Broyhill,1927-08-19,M,R,,401918,,22,,,,NC,10,False,3710
47,B000997,John,Bryant,1947-02-22,M,D,,401947,,2,,,,TX,5,False,4805
48,B001158,Sala,Burton,1925-04-01,F,R,,402100,,2,,,,CO,6,False,0806
49,B001156,Phillip,Burton,1926-06-01,,D,,402098,,22,,,,CA,6,False,0606
50,B001149,Dan,Burton,1938-06-21,M,R,,400055,,2,,,,IN,6,False,1806
51,B001158,Sala,Burton,1925-04-01,F,D,,402100,,2,,,,CA,6,False,0606
52,B001220,Beverly,Byron,1932-07-27,F,D,,402159,,6,,,,MD,6,False,2406
53,C000079,Carroll,Campbell,1940-07-24,,R,,402235,,6,,,,SC,4,False,4504
54,C000165,William,Carney,1942-07-01,M,R,,402313,,6,,,,NY,1,False,3601
55,C000174,Thomas,Carper,1947-01-23,M,D,,300019,663,2,,,,DE,At-Large,True,1000
56,C000178,Bob,Carr,1943-03-27,M,D,,402325,,8,,,,MI,6,False,2606
57,C000293,Rodney,Chandler,1942-07-13,,R,,402435,,2,,,,WA,8,False,5308
58,C000321,William,Chappell,1922-02-03,M,D,,402463,,16,,,,FL,4,False,1204
59,C000322,Eugene,Chappie,1920-03-28,M,R,,402464,,4,,,,CA,2,False,0602
60,C000344,Richard,Cheney,1941-01-30,M,R,,402484,,6,,,,WY,At-Large,True,5600
61,C000462,James,Clarke,1917-06-12,M,D,,402600,,2,,,,NC,11,False,3711
62,C000488,William,Clay,1931-04-30,M,D,,402626,,16,,,,MO,1,False,2901
63,C000523,William,Clinger,1929-04-04,M,R,,402657,,6,,,,PA,23,False,4223
64,C000542,Daniel,Coats,1943-05-16,M,R,,402675,6080,4,,,,IN,4,False,1804
65,C000581,Anthony,Coelho,1942-06-15,M,D,,402710,,6,,,,CA,15,False,0615
66,C000618,Earl,Coleman,1943-05-29,M,R,,402747,,10,,,,MO,6,False,2906
67,C000621,Ronald,Coleman,1941-11-29,M,D,,402750,,2,,,,TX,16,False,4816
68,C000634,Cardiss,Collins,1931-09-24,F,D,,402763,1965,12,,,,IL,7,False,1707
69,C000666,Barber,Conable,1922-11-02,,R,,402793,,20,,,,NY,30,False,3630
70,C000709,Silvio,Conte,1921-11-09,,R,,402833,,26,,,,MA,1,False,2501
71,C000714,John,Conyers,1929-05-16,M,D,,400080,1824,20,,,,MI,1,False,2601
72,C000754,Jim,Cooper,1954-06-19,M,D,,400081,1201,2,,,,TN,4,False,4704
73,C000773,Thomas,Corcoran,1939-05-23,M,R,,402893,,8,,,,IL,14,False,1714
74,C000788,Baltasar,Corrada-del Rio,1935-04-10,,D,,402908,,8,,,,PR,At-Large,True,7298
75,C000807,Robert,Coughlin,1929-04-11,M,R,,402926,,16,,,,PA,13,False,4213
76,C000809,James,Courter,1941-10-14,M,R,,402928,,6,,,,NJ,12,False,3412
77,C000846,William,Coyne,1936-08-24,M,D,,400543,,4,,,,PA,14,False,4214
78,C000858,Larry,Craig,1945-07-20,M,R,,300029,,4,,,,ID,1,False,1601
79,C000871,Daniel,Crane,1936-01-10,M,R,,402985,,6,,,,IL,19,False,1719
80,C000873,Philip,Crane,1930-11-03,M,R,,400085,,16,,,,IL,12,False,1712
81,C000919,George,Crockett,1909-08-10,M,D,,403031,,6,,,,MI,13,False,2613
82,D000017,Norman,D?Amours,1937-10-14,,D,,403143,,10,,,,NH,1,False,3301
83,D000038,Wilbur,Daniel,1914-05-12,M,D,,403178,,16,,,,VA,5,False,5105
84,D000044,William,Dannemeyer,1929-09-22,M,R,,403184,,6,,,,CA,39,False,0639
85,D000064,Thomas,Daschle,1947-12-09,M,D,,300031,,6,,,,SD,At-Large,True,4600
86,D000065,Harold,Daub,1941-04-23,M,R,,403203,,4,,,,NE,2,False,3102
87,D000131,Robert,Davis,1932-07-31,M,R,,403266,,6,,,,MI,11,False,2611
88,D000203,Eligio,de la Garza,1927-09-22,M,D,,403308,,20,,,,TX,15,False,4815
89,D000209,Ron,de Lugo,1930-08-02,M,D,,403314,,10,,,,VI,At-Large,True,7898
90,D000222,Ronald,Dellums,1935-11-24,M,D,,403364,,14,,,,CA,8,False,0608
91,D000267,Butler,Derrick,1936-09-30,M,D,,403403,,10,,,,SC,3,False,4503
92,D000294,Michael,DeWine,1947-01-05,M,R,,300033,,2,,,,OH,7,False,3907
93,D000326,William,Dickinson,1925-06-05,M,R,,403446,,20,,,,AL,2,False,0102
94,D000327,Norman,Dicks,1940-12-16,M,D,,400109,8131,8,,,,WA,6,False,5306
95,D000355,John,Dingell,1926-07-08,M,D,,400110,470,30,,,,MI,16,False,2616
96,D000373,Julian,Dixon,1934-08-08,M,D,,400580,,6,,,,CA,28,False,0628
97,D000416,Brian,Donnelly,1946-03-02,,D,,403529,,6,,,,MA,11,False,2511
98,D000432,Byron,Dorgan,1942-05-14,M,D,,300037,2318,4,,,,ND,At-Large,True,3800
99,D000466,Charles,Dowdy,1943-07-27,M,D,,403576,,4,,,,MS,4,False,2804
100,D000471,Thomas,Downey,1949-01-28,M,D,,403581,,10,,,,NY,2,False,3602
101,D000492,David,Dreier,1952-07-05,M,R,,400115,,4,,,,CA,33,False,0633
102,D000534,John,Duncan,1919-03-24,M,R,,403641,,20,,,,TN,2,False,4702
103,D000563,Richard,Durbin,1944-11-21,M,D,,300038,6741,2,,,,IL,20,False,1720
104,D000586,Bernard,Dwyer,1921-01-24,,D,,403689,,4,,,,NJ,6,False,3406
105,D000592,Mervyn,Dymally,1926-05-12,,D,,403695,,4,,,,CA,31,False,0631
106,D000593,Royden,Dyson,1948-11-15,,D,,403696,,4,,,,MD,1,False,2401
107,E000013,Joseph,Early,1933-01-31,M,D,,403709,,10,,,,MA,3,False,2503
108,E000031,Dennis,Eckart,1950-04-06,,D,,403726,,4,,,,OH,11,False,3911
109,E000043,Robert,Edgar,1943-05-29,M,D,,403738,,10,,,,PA,7,False,4207
110,E000077,Marvin,Edwards,1937-07-12,,R,,403769,,8,,,,OK,5,False,4005
111,E000064,Don,Edwards,1915-01-06,M,D,,403776,,22,,,,CA,10,False,0610
112,E000084,William,Edwards,1928-09-20,M,R,,403777,,20,,,,AL,1,False,0101
113,E000174,Bill,Emerson,1938-01-01,M,R,,403864,,4,,,,MO,8,False,2908
114,E000184,Glenn,English,1940-11-30,M,D,,403873,,10,,,,OK,6,False,4006
115,E000201,Ben,Erdreich,1938-12-09,,D,,403888,,2,,,,AL,6,False,0106
116,E000204,John,Erlenborn,1927-02-08,M,R,,403891,,20,,,,IL,13,False,1713
