,id,first_name,last_name,dob,gender,party,leadership_role,govtrack_id,cspan_id,seniority,total_votes,missed_votes,total_present,state,district,at_large,geoid,state_names
0,A000014,Neil,Abercrombie,1938-06-26,M,D,False,400001,,6,1122,57,0,HI,1,False,1501,Hawaii
1,A000022,Gary,Ackerman,1942-11-19,M,D,False,400003,1002061.0,12,1122,80,0,NY,5,False,3605,New York
2,A000109,Wayne,Allard,1943-12-02,M,R,False,300003,,4,1122,6,0,CO,4,False,804,Colorado
3,A000209,Michael,Andrews,1944-02-07,M,D,False,400882,,12,1122,99,0,TX,25,False,4825,Texas
4,A000210,Robert,Andrews,1957-08-04,M,D,False,400008,19670.0,6,1122,50,0,NJ,1,False,3401,New Jersey
5,A000211,Thomas,Andrews,1953-03-22,M,D,False,400885,,4,1122,22,0,ME,1,False,2301,Maine
6,A000214,Douglas,Applegate,1928-03-27,M,D,False,400906,,18,1122,70,1,OH,18,False,3918,Ohio
7,A000215,Bill,Archer,1928-03-22,M,R,False,400567,,24,1122,27,0,TX,7,False,4807,Texas
8,A000217,Richard,Armey,1940-07-07,M,R,False,400551,,10,1122,28,0,TX,26,False,4826,Texas
9,A000224,Leslie,Aspin,1938-07-21,M,D,False,400967,,24,1122,0,0,WI,1,False,5501,Wisconsin
10,B000008,Jim,Bacchus,1949-06-21,M,D,False,401014,,4,1122,61,0,FL,15,False,1215,Florida
11,B000013,Spencer,Bachus,1947-12-28,M,R,False,400010,26397.0,2,1122,25,0,AL,6,False,106,Alabama
12,B000028,Scotty,Baesler,1941-07-09,M,D,False,401033,,2,1122,19,0,KY,6,False,2106,Kentucky
13,B000072,Richard,Baker,1948-05-22,M,R,False,400012,,8,1122,64,0,LA,6,False,2206,Louisiana
14,B000078,Bill,Baker,1940-06-14,M,R,False,401081,,2,1122,20,1,CA,10,False,610,California
15,B000104,Cass,Ballenger,1926-12-06,M,R,False,400015,,10,1122,24,0,NC,10,False,3710,North Carolina
16,B001226,Peter,Barca,1955-08-07,M,D,False,401134,,2,1122,3,0,WI,1,False,5501,Wisconsin
17,B000134,James,Barcia,1952-02-25,M,D,False,400526,,2,1122,26,0,MI,5,False,2605,Michigan
18,B000151,Tom,Barlow,1940-08-07,M,D,False,401153,,2,1122,38,0,KY,1,False,2101,Kentucky
19,B000177,Thomas,Barrett,1953-12-08,M,D,False,400553,,2,1122,13,0,WI,5,False,5505,Wisconsin
20,B000179,Bill,Barrett,1929-02-09,M,R,False,400568,,4,1122,6,1,NE,3,False,3103,Nebraska
21,B000208,Roscoe,Bartlett,1926-06-03,M,R,False,400017,27026.0,2,1122,10,0,MD,6,False,2406,Maryland
22,B000213,Joe,Barton,1949-09-15,M,R,False,400018,5248.0,10,1122,123,0,TX,6,False,4806,Texas
23,B000229,Herbert,Bateman,1928-08-07,M,R,False,400569,,12,1122,58,0,VA,1,False,5101,Virginia
24,B000287,Xavier,Becerra,1958-01-26,M,D,False,400021,26567.0,2,1122,93,5,CA,30,False,630,California
25,B000318,Anthony,Beilenson,1932-10-26,M,D,False,401310,,18,1122,23,1,CA,24,False,624,California
26,B000392,Helen,Bentley,1923-11-28,F,R,False,401383,,10,1122,61,0,MD,2,False,2402,Maryland
27,B000403,Douglas,Bereuter,1939-10-06,M,R,False,400023,,16,1122,8,0,NE,1,False,3101,Nebraska
28,B000410,Howard,Berman,1941-04-15,M,D,False,400025,1592.0,12,1122,117,0,CA,26,False,626,California
29,B000431,Tom,Bevill,1921-03-27,M,D,False,401417,,28,1122,54,0,AL,4,False,104,Alabama
30,B000462,James,Bilbray,1938-05-19,M,D,False,401446,,8,1122,13,0,NV,1,False,3201,Nevada
31,B000463,Michael,Bilirakis,1930-07-16,M,R,False,400028,,12,1122,49,0,FL,9,False,1209,Florida
32,B000490,Sanford,Bishop,1947-02-04,M,D,False,400030,26194.0,2,1122,49,0,GA,2,False,1302,Georgia
33,B000517,Lucien,Blackwell,1931-08-01,M,D,False,401494,,4,1122,153,1,PA,2,False,4202,Pennsylvania
34,B000556,Tom,Bliley,1932-01-28,M,R,False,400571,,14,1122,19,0,VA,7,False,5107,Virginia
35,B000576,Peter,Blute,1956-01-28,M,R,False,401547,,2,1122,38,0,MA,3,False,2503,Massachusetts
36,B000586,Sherwood,Boehlert,1936-09-28,M,R,False,400035,,12,1122,18,0,NY,23,False,3623,New York
37,B000589,John,Boehner,1949-11-17,M,R,False,400036,16740.0,4,1122,30,1,OH,8,False,3908,Ohio
38,B000617,Henry,Bonilla,1954-01-02,M,R,False,400037,,2,1122,9,1,TX,23,False,4823,Texas
39,B000619,David,Bonior,1945-06-06,M,D,False,400527,,18,1122,40,1,MI,10,False,2610,Michigan
40,B000644,Robert,Borski,1948-10-20,M,D,False,400542,,12,1122,40,0,PA,3,False,4203,Pennsylvania
41,B000657,Rick,Boucher,1946-08-01,M,D,False,400043,6736.0,12,1122,56,0,VA,9,False,5109,Virginia
42,B000817,Bill,Brewster,1941-11-08,M,D,False,401774,,4,1122,57,0,OK,3,False,4003,Oklahoma
43,B000880,Jack,Brooks,1922-12-18,M,D,False,401837,,42,1122,76,1,TX,9,False,4809,Texas
44,B000897,Glen,Browder,1943-01-15,M,D,False,401854,,6,1122,25,0,AL,3,False,103,Alabama
45,B000918,George,Brown,1920-03-06,M,D,False,400572,,30,1122,156,0,CA,42,False,642,California
46,B000944,Sherrod,Brown,1952-11-09,M,D,False,400050,5051.0,2,1122,26,0,OH,13,False,3913,Ohio
